artist_name,country
Matuê,BR
Clayton & Romário,BR
Danna Paola,Mexico
Fabbio,ES
Bloody Civilian,NG
buffalo,US
Sierra,United States
Mawelele,ZA
Bandaga,ES
Dj Money Willz,India
Bello Figo,Italy
Pango,Thailand
Strandz,GB
AI,JP
HWASA,KR
Hannah Laing,United Kingdom
Eito,JP
WŁODAR,Poland
Eugenio Esquivel,MX
Prabh Singh,CA
Salvador Da Rima,BR
Cherrie,SE
Zeamsone,PL
Djadja & Dinaz,FR
Childish Gambino,US
陈村长,JP
Wiz Khalifa,United States
Cash Flow,US
Neo Pistea,Argentina
"JQ ""The #1 Contender""",PR
Shirley Setia,New Zealand
Tom Gregory,United States
MC Mirella,BR
Keith Urban,AU
DIVINE,GB
Keen Levy,JM
Miksu / Macloud,DE
Hiten,Taiwan
noa,IL
Younha,South Korea
Oimara,Germany
Lil Zey,Turkey
Tati Zaqui,BR
TOPIC42,DE
goddard.,United Kingdom
shytaupe,JP
Ekipa,PL
El Turko,Argentina
Dardan,DE
Anuel AA,United States
BigMama,Italy
Glass Animals,GB
Galantis,SE
Bas,US
Wyguś,Poland
JACKBOYS,US
Crayon,US
Joyner Lucas,US
고추잠자리,KR
Naod,SE
Clave Especial,MX
Brando,Italy
Ivy Queen,United States
01099,Germany
Dawid Narożny,CZ
CamrinWatsin,Ireland
Harry Styles,United Kingdom
Leśny,PL
Gigi Perez,IT
Capo Plaza,IT
Doğukan Sarıtaş,TR
Lington,US
Gusty dj,CH
Mabel Matiz,Turkey
Awesome City Club,JP
C. Tangana,Spain
Louane,FR
Kalmi,India
Ziynet Sali,Northern Cyprus
Afsana Khan,India
Eddy Lover,Panama
Kunaal Vermaa,India
Ezhel,TR
Senex,PL
YAKARY,DE
Oğuzhan Koç,TR
Buni,GB
Motive,South Korea
Blaqnick & MasterBlaq,ZA
uMehlabomvu,ZA
Hooligan Hefs,AU
Mina,IT
Don Toliver,US
Hamza,BE
Ke Personajes,AR
Julieta Venegas,MX
Zach Bryan,CA
Dominic Fike,United States
IIVEN,DE
TeeDee,GB
Skillz,United States
THE ANXIETY,GB
Artie 5ive,US
po prostu Kajtek,PL
25K,South Africa
SwitchOTR,GB
j-hope,GB
Harshavardhan Rameshwar,IN
La banda de Carlitos,US
La Húngara,ES
Dvicio,ES
Jay Wheeler,US
BENNETT,US
Göksel,TR
Pritt,GB
CAO$,JP
Martin Solveig,FR
EL NOBA,AR
Young King The Vocalist,US
Belanova,MX
Pedro Calderon,MX
Prashant Ingole,IN
Jolyon Petch,AU
Tuna Kiremitçi,TR
KANGDANIEL,KR
MC Smith,US
ÉaBest,BR
Vishal-Shekhar,IN
Deno,GB
SUICIDAL-IDOL,GB
Tebza De DJ,ZA\
Arslan Nizami,IN
Edvin Törnblom,SE
Barth,FR
Leo Rizzi,FR
Robin Bengtsson,SE
Joshi Mizu,AT
Alonzo Cortes,FR
Tribbs,PL
Renn,EC
Mateo on the Beatz,GB
CIZA,ZA
Polo G,DE
070 Shake,US
Hov1,SE
Mark Ronson,GB
Eryk Moczko,Poland
Fer Palacio,AR
the garden,GB
Sampagne,DE
Abraham Mateo,ES
Amadeusz Ferrari,FR
Miggy Dela Rosa,GB
Red,US
Intense,GB
Onda Sabanera,AR
Phatrax,PL
manifest,GB
Audiocrackerr,IN
Oliver Anthony Music,DE
THE SCOTTS,GB
Modo Diablo,IT
FKA twigs,United Kingdom
Claudia Valentina,GB
Nko,IT
Shilpa Rao,IN
1.Cuz,SE
Qwabe Twins,GB
Chappell Roan,US
Sayf,Italy
Burak Bulut,Turkey
Fuerza Regida,MX
NSTASIA,US
Cheztom,CO
Ch'cco,ZA
Central Cee,United Kingdom
Rag'n'Bone Man,United Kingdom
ONE OK ROCK,JP
BelloM,ZA
Alemán,AR
Kacper Blonsky,Poland
Rich Music LTD,US
Amir,Italy
Axolotes Mexicanos,ES
Rethabile Khumalo,ZA
Fall Out Boy,US
ZetHa,PL
DJ BLACKOUT,CH
42 Dugg,US
Denden,FR
El Papi,US
Kartonii,Poland
Margaret,CA
lIlBOI,KR
Adi Nowak,PL
Taylor Swift,US
Maikel Delacalle,ES
Kenya Grace,GB
MoStack,GB
Luíza & Maurílio,BR
91 All Stars,FR
Mark Ambor,US
Bazzi,US
Like Mike,GB
DJ JOÃO PEREIRA,PT
Un Poco de Ruido,US
ImbongiYosizi,ZA
chiello,IT
WIU,BR
Jay Trak,US
OneRepublic,US
Soulja Boy,US
Maurycy Żółtański,Poland
milet,JP
Ebru Gündeş,TR
Boladin 211,BR
Buscabulla,PR
Ranger,US
James Arthur,GB
Pa Monday-Edo,DE
Fard,DE
Baby Gang,US
Heijan,TR
Latto,US
BoA,KR
budzik,Poland
Shaun 101,US
DJ Léo da 17,BR
The Lowkeys,GB
Daliwonga,ZA
Linkin Park,US
Blue Pappi,US
Luis Mexia,MX
Eddie Brock,US
VINAI,IT
Dj Obza,ZA
John Mayer,US
Night Skinny,CA
Malaysia Vasudevan,Malaysia
Kemy Chienda,ZA
DJ Oreia,CH
galewings,UNKNOWN
Laddi Chahal,India
Ajaxx,BR
HUMBE,MX
Pryme,Nigeria
Ms Nina,US
Hailee Steinfeld,US
BANDIDO,MX
Léo Santana,US
Henry Freitas,GB
Ajey Nagar (CarryMinati),IN
Zenab Fatimah Sultan,PK
Jeck,GB
Bryce Vine,US
maszaitsme,Poland
WoLa,Poland
L2B,FR
187 Strassenbande,DE
Kenan,TR
Plan B,GB
MC G15,BR
PeeKay Mzee,ZA
Anzo,ZA
Shablo,IT
Oscar Mbo,CA
MC Kekel,BR
DJ CZ,CH
Moha La Squale,FR
Luan Pereira,BR
timelesz,JP
Intaba Yase Dubai,ZA
Gottastral,Poland
SUPER-Hi,GB
Rascoe Kaos,ES
ArrDee,GB
A$AP Rocky,US
Guzior,PL
Linh,CA
Elvirgo,ZA
Sound Of Legend,FR
Kidd Voodoo,CL
Sorriso Maroto,BR
P3GI-13,Sweden
DJ Lucas Beat,BR
Bonez MC,DE
Aparshakti Khurana,IN
DJ Latimmy,ZA
DJ Menezes,CH
Al Safir,US
Freddy Gladieux,DE
De La Rose,PR
Klara Hammarström,Sweden
Loui,PL
Caio Luccas,BR
Nahir,France
Dargen D'Amico,IT
Venom Valentino,GB
Nakash Aziz,IN
Arko,IN
Kargo,TR
DJ SOL K,US
Bedo,TR
Marvin Gaye,US
Musa Keys,US
RB030,DE
Robleis,AR
David Guetta,France
Gambi,FR
Ceza,TR
Sammy & Falsetto,PR
Federica Carta,IT
La Duraca,United States
Temple Boys Cpt,US
Mc Gabzin,BR
Ahn Byeong Woong,KR
Naldo Benny,US
Lars Winnerbäck,Sweden
Tyler ICU,GB
back number,JP
Natalia Grosiak,PL
Angelique Kidjo,BJ
Sheridan,Brazil
Original Elias,BR
Dynoro,LT
NATHY PELUSO,ES
Sacky,Italy
Lady Amar,US
CHANGMO,KR
Cali Y El Dandee,CO
Thabza Tee,ZA
MC Koringa,Brazil
Yami Safdie,AR
Guerra Neto,DO
Marc Anthony,DE
Ferdi Özbeğen,TR
MHD,FR
Red Velvet,KR
Stephanie Beatriz,US
Newkid,SE
Jøtta,EC
Roisee,US
Pusher,CA
Gary Yang,GB
CrackHouse,FR
Roc Boyz,US
Petter,SE
Caiiro,ZA
Os Parazim,BR
Alphaville,DE
Masoom Sharma,India
MC BN,BR
Nobantu Vilakazi,ZA
K Koke,GB
Leto,FR
Greg Kurstin,US
ShaunMusiq & Ftears,ZA
Lasmid,GH
Stabil,TR
Bolémvn,FR
Eiffel 65,IT
Aleyna Tilki,Turkey
Ant Wan,Sweden
Tego Calderón,PR
Sbuda Maleather,ZA
NAZAKEBLACK,FR
Bora Duran,GB
Lola Young,CA
Max Gazzè,IT
Emotionz DJ,CH
LX,DE
Lazza,IT
Rionegro & Solimões,BR
Tabber,KR
FP do Trem Bala,BR
Reigan,AU
Dove Cameron,US
Victony,NG
FIFA Sound,JP
Gipa,ZA
Madhubanti Bagchi,IN
Sameera Bharadwaj,IN
Bagua Records,JP
Fafá de Belém,BR
Mister V,US
DG IMMORTALS,India
Ernia,IT
Gülşen,TR
Shawty,US
Kortez,Poland
Nueva H,US
PNAU,AU
Daniel Caesar,CA
22simba,IT
Abel Balder,NL
Umashotana,Nigeria
Pepe y Vizio,ES
DJ Matt D,BR
Ricchi E Poveri,IT
Ptazeta,ES
ACRAZE,US
Bakar,GB
Frej Larsson,SE
Luke Combs,US
Shebeshxt,South Africa
Schürze,DE
QuayR Musiq,US
Fasma,IT
Anders Bagge,AT
Oil Beatz,AU
Şanışer,TR
Premixm,PL
Yalın,TR
Kaz Bałagane,PL
Fuego,US
CLARA,BR
Sarettii,SE
Deys,PL
Juanpa Salazar,MX
Virtual Flavor,ES
PSICOLOGI,IT
Mluusician,ZA
Reni Jusis,PL
Dj Aladin GDB,CH
Kofs,FR
Rusina,Poland
Basick,KR
Buddy,US
Set Off,US
Rauw Alejandro,PR
Dani Fernández,MX
Charli xcx,GB
Brenden Praise,ZA
Major Lazer,JM
Kaka,DK
DJ Kap,CH
Arcane,UNKNOWN
MC Paulin da Capital,BR
Poly,UNKNOWN
Ceg,Turkey
Quebonafide,PL
47ter,FR
Sweyway,SE
Manu,CM
XG,FR
Florida Georgia Line,US
Tomine Harket,NO
Ayo Maff,Nigeria
Atomic Otro Way,Dominican Republic
CKay,NG
Borucci,PL
Pablo Chill-E,CL
Filipe Ret,Brazil
KUMMER,DE
JEY BROWNIE,CD
Sayian Jimmy,JM
Killorbeezbeatz,ZA
Abou Debeing,FR
10CM,KR
Project Pat,US
Ulf Leo Sommer,DE
AMK,United States
Kamufle,TR
Munawar Faruqui,IN
Stress,CH
Tom Walker,United States
Bonn,SE
Mc Menor DN,BR
La Rvfleuze,FR
Tayc,FR
Piotrek Lewandowski,PL
Enrique Iglesias,ES
DJ Kawest,FR
VC Barre,Sweden
Dj Kiire,MX
Luv Resval,FR
Grupo Maximo Grado,MX
Las 2K,ES
IZ*ONE,KR
ATE,ZA
Khalid,US
RM,KR
Prynce,DE
KILATE TESLA,NL
Mc Pedrinho,BR
De-papzo,GB
Boro,IT
Wiatr,Poland
Link do Zap,BR
Totoy El Frio,CO
Gwangil Jo,NO
Stallin Matsitsa,ZAs
İkilem,IT
Big Sean,United States
YU-KA,Japan
Jone Quest,PR
Rsko,FR
Zeynep Bastık,Turkey
Nathan Evans,DE
Ryu,United States
Mafia Mike,GB
nayt,IT
Pezet,Poland
Kaushik-Guddu,India
MK Productions,US
Maurin,IL
DJ TS,CH
Matteo Romano,Italy
Nicky Jam,US
RoseReal,UNKNOWN
Rihanna,Barbados
Calum Scott,United Kingdom
Pilar Moxó,CZ
Xamã,Brazil
Kweyama Brothers,US
Manu Manjith,India
Duke Montana,Italy
Macias,FR
Los Pleneros de la Cresta,PR
A.R. Rahman,India
Sebas,EC
Doda,PL
Tropa da W&S,BR
Tekmill,Turkey
Amo,JP
DJ Angelo,US
K-391,NO
Phyno,NG
Veiga no Beat,BR
Cristian Di Marco,UNKNOWN
Matheus & Kauan,BR
Dream Supplier,UNKNOWN
Rich Amiri,United States
Saweetie,US
MC Ingryd,BR
Favst,Poland
Santa Fe Klan,MX
Kayah,PL
Montiego,IR
Sidhu Moose Wala,IN
Daft Punk,FR
MC Menor JP,BR
L-Gante,Argentina
NGEE,DE
Nia Pearl,US
Pooja Saxena,IN
Sharn,India
DJ Guti BPM,ZA
Yanda Woods,US
Sorry Boys,US
Arcángel,PR
DJ Luian,PR
Peso Pluma,MX
GULEED,SE
Emis Killa,IT
Arz,United Kingdom
Farruquito,Spain
Eslabon Armado,US
Surya Ragunaathan,UNKNOWN
Tony Kakkar,US
Konke,UNKNOWN
Olivia Dean,US
Offset,US
QWER,KR
Kauta,UNKNOWN
Petter Ferraz,SE
Jere Klein,CL
Wroobel,PL
Jack & Jack,US
1986zig,DE
Luna,JP
Ammy Virk,India
Shenseea,JM
Airbag,ES
Ulises Bueno,UNKNOWN
Banx & Ranx,CA
Ice Spice,US
Lolo OG,AR
Lewis Somes,US
sanny,UNKNOWN
Pedro Lotto,MX
Forxst,UNKNOWN
LACAZETTE,DE
Souly,DE
Tiger Hu,GB
Wes Nelson,US
El Mago Y La Nueva,UNKNOWN
攬佬SKAI ISYOURGOD,CN
Weeekly,KR
AR刘夫阳,JP
AUDREY NUNA,US
slowez,UNKNOWN
fire hair,US
Priya Saraiya,India
Kwesta,ZA
MOLIY,US
Igow,BR
Rafonix,PL
Denz,GB
De Mthuda,ZA
João Bosco e Gabriel,US
Halodayı,UNKNOWN
Dj Lekusto,UNKNOWN
Kabza De Small,ZA
Endzone,Switzerland
Leellamarz,KR
Umketule,UNKNOWN
Mckdaddy,KR
Rana Sotal,UNKNOWN
Greg Taro,DE
Paul Russell,Kingdom of the Netherlands
The Mamas,GB
Avie,UNKNOWN
