country,country_code,year,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,ST.INT.XPND.CD
Argentina,ARG,2019,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,,,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,7399000.0,15352000.0,9845000000.0
Argentina,ARG,2020,0.305173266187524,1.26616924308721,13.3819968611147,121.181,21.1798,167248.0,85.5144,16.6054144372484,13.5982843701675,40.0830878011993,40.0830878011993,-9.9004848136464,8535.59938004389,99.6800003051758,99.1399993896484,42.7,0.484665636741261,45191965.0,-1.02499544333322,7.889,0.615028911928924,92.111,,,2746000000.0
Argentina,ARG,2021,0.317298745187022,1.36838083162438,15.0422482293727,130.353,23.15,231834.0,87.1507,18.0667091690365,15.0119803984295,53.8020877665554,53.8020877665554,10.4418119882506,10738.0179223384,,,42.4,0.265879395046274,45312281.0,-1.24118018454309,7.771,0.393904283014769,92.229,,,
Argentina,ARG,2022,0.330257486949538,2.40302244246396,15.7209085880323,131.484,24.6832,240087.0,88.3754,16.248014443903,15.2996935612041,69.8760842459268,69.8760842459268,5.26987967384072,13935.6811110049,,,40.7,0.210808731072658,45407904.0,-1.31929090861124,7.65300000000001,0.338668250794531,92.347,,,
Argentina,ARG,2023,0.46794285054368,3.83188895905263,11.2323152268162,137.706,25.3581,248239.0,89.229,12.7492457826544,13.8912663507893,135.368876310592,135.368876310592,-1.61100162090189,14187.4827252965,,,42.4,0.286976121920089,45538401.0,-1.24038550649962,7.53700000000001,0.412511398836538,92.463,,,
Argentina,ARG,2024,0.435317808516311,1.83878197817,,,,249201.0,89.6672,15.3342337389676,12.8251676959106,207.9218609534,207.9218609534,-1.71910514722377,13858.2039802008,,,42.4,0.345829819817895,45696159.0,-1.20520131382304,7.42100000000001,0.471206008710255,92.579,,,
Australia,AUS,2019,0.638945694912113,2.78196787472132,3.10009994050235,109.753,34.5434,931399.0,93.6099,24.1596779983146,22.0278238953145,3.46820261012924,3.46820261012924,2.17154505737176,54972.7017885437,,,,1.47749071058438,25334826.0,0.673555249409334,13.876,1.60762467607999,86.124,9466000.0,11624000.0,41345000000.0
Australia,AUS,2020,0.55699197477725,1.35325605506287,3.8292718357027,104.93,35.3468,1022449.0,94.6935,24.0267391579698,20.6377169074661,1.88550119010648,1.88550119010648,-0.119590735829973,51791.540179984,,,33.8,1.23342825131378,25649248.0,0.386682933759622,13.759,1.36918474912152,86.241,1828000.0,2832000.0,7654000000.0
Australia,AUS,2021,0.461333267746361,2.0246819461122,3.32071475164726,105.119,35.836,1193898.0,96.9722,22.0566759771447,18.2458042920249,3.0799498600023,3.0799498600023,2.11116814768786,60607.7788605166,,,,0.14089508329287,25685412.0,-0.742432082606775,13.638,0.281103300397357,86.362,,,
Australia,AUS,2022,7.37768712631424,4.16149504206489,2.72474963498485,109.469,36.3933,1255844.0,97.0424,25.5315880289865,20.2901822017406,7.17553361510235,7.17553361510235,4.24238555336139,64997.0136536475,,,,1.27269881377618,26014399.0,0.344540883621696,13.512,1.41848597605496,86.488,,,
Australia,AUS,2023,0.784630496399591,1.91730721115443,,112.513,36.6047,1268103.0,97.0631,26.7992411333458,22.4259429260923,6.51199894950456,6.51199894950456,3.44199220009025,64835.9199754535,,,,2.42431553908742,26652777.0,1.46500639719691,13.383,2.57336049684863,86.617,,,
Australia,AUS,2024,0.845467011246894,3.09257917824853,,,,1204688.0,,24.705209306537,22.6090197065918,2.6265456903831,2.6265456903831,1.4311125201703,64407.484256932,,,,2.05004113352233,27204809.0,1.05127064559814,13.25,2.20347308455882,86.75,,,
Brazil,BRA,2019,1.21815769940391,3.692673213156,2.27191324326793,97.3747,15.8622,578468.0,73.9124,14.1229191913178,14.7673386785785,4.22425886342708,4.22425886342708,1.22077782360842,9029.83326681073,99.1,93.9019248012051,53.5,0.651994346081362,207455459.0,-1.26485336305963,13.176,0.946124107128195,86.824,6353000.0,,21178000000.0
