rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, JHAYCO",DÁKITI,Rimas Entertainment LLC,1,1,10,2758086,AR,Argentina,Q1,2021
2,spotify:track:6EHrppRT1Uj4cyShAujxFu,"Papu DJ, L-Gante",L-Gante: RKT SESSIONS #1,PAPU DJ,2,4,6,2735464,AR,Argentina,Q1,2021
3,spotify:track:7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,UMLE - Latino,2,2,11,2720767,AR,Argentina,Q1,2021
4,spotify:track:3lCbsHaN1wCxyDzcNN2x4N,"Migrantes, Alico",Si Me Tomo Una Cerveza,LEB Records,2,3,8,2628891,AR,Argentina,Q1,2021
5,spotify:track:5uD4fcXch2qE5LYeyDipA1,"El Reja, Lira",Bésame,Montevideo Music Group,2,5,13,2076924,AR,Argentina,Q1,2021
6,spotify:track:7D7EH7MGyNHWSkqrszerI1,"Camilo, El Alfa",BEBÉ,Sony Music Latin,6,7,6,1982856,AR,Argentina,Q1,2021
7,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,"Bizarrap, NATHY PELUSO","Nathy Peluso: Bzrp Music Sessions, Vol. 36/66",DALE PLAY Records,5,6,6,1918143,AR,Argentina,Q1,2021
8,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,6,11,6,1864105,AR,Argentina,Q1,2021
9,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawái,Sony Music Latin,1,8,23,1801791,AR,Argentina,Q1,2021
10,spotify:track:73nAK3HgQK8dak83Y2WQ8F,Camilo,Vida de Rico,Sony Music Latin,2,10,16,1755097,AR,Argentina,Q1,2021
11,spotify:track:21N4Buj4xsyLb218lYle61,"Sebastian Yatra, Guaynaa",Chica Ideal,UMLE - Latino,7,9,12,1745958,AR,Argentina,Q1,2021
12,spotify:track:3VvA1wSxukMLsvXoXtlwWx,Boza,Hecha Pa' Mi,Sony Music Latin,12,13,7,1699308,AR,Argentina,Q1,2021
13,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,White World Music,13,30,4,1593564,AR,Argentina,Q1,2021
14,spotify:track:15OjBeqNX3bShsGYQbteRv,Farruko,La Tóxica,Sony Music Latin,5,12,23,1564289,AR,Argentina,Q1,2021
15,spotify:track:4loQgPwJHocL3dFwLfjb1J,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,12,14,11,1518858,AR,Argentina,Q1,2021
16,spotify:track:3GtnId3Cm1Xa6joCj08nzW,Justin Quiles,Jeans,WEA Latina,2,15,21,1398974,AR,Argentina,Q1,2021
17,spotify:track:7ndTONDDRFGiPnnhOzOXxq,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,Sony Music Latin/La Industria,9,16,13,1372632,AR,Argentina,Q1,2021
18,spotify:track:35UUpTmrcFXNIVIN26ujXl,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,Rich Music,3,17,18,1307039,AR,Argentina,Q1,2021
19,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,"Ozuna, J Balvin, Chencho Corleone",Una Locura,Aura Music Corp.,11,18,18,1287202,AR,Argentina,Q1,2021
20,spotify:track:1jtkP2Vj67mcBTXJgIOZsW,"Maria Becerra, Rusherking",Confiesalo,300 Entertainment,20,21,8,1274803,AR,Argentina,Q1,2021
21,spotify:track:4RJz8NfIe09gpKMiRUWKhJ,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),Sony Music Latin,8,19,20,1165708,AR,Argentina,Q1,2021
22,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,4,22,29,1137048,AR,Argentina,Q1,2021
23,spotify:track:2I3qA0KslRCxFTfZnPyDhf,"The La Planta, Nestor En Bloque, Marka Akme, MOMO, Pushi",Barrio Prendido,The La Planta,23,23,10,1111570,AR,Argentina,Q1,2021
24,spotify:track:7x4ASXYEKfQBCewcZhK776,KAROL G,"Ay, DiOs Mío!",UMLE - Latino,6,24,26,1056968,AR,Argentina,Q1,2021
25,spotify:track:4G3PTss3mU33Tau7t4KbwE,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,Sony Music Latin/Duars Entertainment,2,20,26,1033006,AR,Argentina,Q1,2021
26,spotify:track:2HpbDdD3JLpAPMJFYCeC6o,"Maria Becerra, TINI, Lola Indigo",High (Remix),300 Entertainment / Maria Becerra,2,27,18,1030632,AR,Argentina,Q1,2021
27,spotify:track:2mMZAd3ol9wGI2WJl4XJCF,"Nicki Nicole, Dread Mar I, Bizarrap",Verte,Sony Music Latin/DALE PLAY Records,17,26,4,1024646,AR,Argentina,Q1,2021
28,spotify:track:59nnGpAU3AiL2tD0o2It11,"KHEA, NATTI NATASHA, Prince Royce, Lenny Santos",Ayer Me Llamó Mi Ex (Remix),Young Flex - Khea,23,25,9,1013402,AR,Argentina,Q1,2021
29,spotify:track:4C6BlqqMwjFzOXzqpTeoWR,Justin Quiles,Ponte Pa' Mi,WEA Latina,26,29,7,1013302,AR,Argentina,Q1,2021
30,spotify:track:0JAZWvvqttGFm4UMDsPQXC,"Ozuna, Camilo",Despeinada,Aura Music Corp.,7,28,18,986370,AR,Argentina,Q1,2021
31,spotify:track:68mrW6gXHgupgSiDHgaDi5,"Nicky Jam, Myke Towers",Polvo,Sony Music Latin,31,33,7,982634,AR,Argentina,Q1,2021
32,spotify:track:11EnQRgRMJwMAesfkB5pnu,"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),Shots Studios & Music/10:22pm/Interscope Records,16,31,16,926008,AR,Argentina,Q1,2021
33,spotify:track:4gQG2Ic7hnJMAcqunk4ERT,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,P2020,10,35,90,911103,AR,Argentina,Q1,2021
34,spotify:track:2bgcUk2A3jjKbCJ7KPquTi,"Wisin, Myke Towers, Los Legendarios",Mi Niña,La Base Music Group/ WK Records,22,32,14,894494,AR,Argentina,Q1,2021
35,spotify:track:5Jm4w8jmPEBTLjI9vH4fXo,Ozuna,Caramelo,Aura Music Corp.,1,34,30,879570,AR,Argentina,Q1,2021
36,spotify:track:4KlrEwjhXnHLtmKauxVHJz,"El Reja, Agustín Casanova, The La Planta",Bonita,Montevideo Music Group,36,36,6,767311,AR,Argentina,Q1,2021
37,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),Universal Music Latino/ NEON16,22,42,24,747564,AR,Argentina,Q1,2021
