rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year,source_file
1,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,2,10,2506857,AR,Argentina,Q1,2019,merged_data_2019.csv
2,spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,WEA Latina,1,1,10,2451964,AR,Argentina,Q1,2019,merged_data_2019.csv
3,spotify:track:5lcL51XmmTrQy09H85wIJZ,DJ Alex,Leña para el Carbón,DJ Alex,3,3,5,1709216,AR,Argentina,Q1,2019,merged_data_2019.csv
4,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,2,5,13,1427528,AR,Argentina,Q1,2019,merged_data_2019.csv
5,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,"Duki, DrefQuila",Sin Culpa (feat.DrefQuila),SSJ Records / DALE PLAY Records,5,6,5,1389999,AR,Argentina,Q1,2019,merged_data_2019.csv
6,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,4,15,1378374,AR,Argentina,Q1,2019,merged_data_2019.csv
7,spotify:track:2XXMDz7SPZ4mSFN1PXfHUy,"Becky G, Paulo Londra",Cuando Te Besé,Sony Music Latin,1,7,23,1245245,AR,Argentina,Q1,2019,merged_data_2019.csv
8,spotify:track:6MJUCumnQsQEKbCy28tbCP,"Daddy Yankee, Anuel AA",Adictiva,Craft Latino,8,12,9,1215592,AR,Argentina,Q1,2019,merged_data_2019.csv
9,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton,UMLE - Latino,9,11,8,1183089,AR,Argentina,Q1,2019,merged_data_2019.csv
10,spotify:track:22sESxzbY1O1E19xjOTaYf,Rombai,Me Voy,Sony Music Latin,8,10,15,1172761,AR,Argentina,Q1,2019,merged_data_2019.csv
11,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,"Sebastian Yatra, Mau y Ricky",Ya No Tiene Novio,UMLE - Latino,4,9,22,1150556,AR,Argentina,Q1,2019,merged_data_2019.csv
12,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Sony Music Latin,12,13,12,1121985,AR,Argentina,Q1,2019,merged_data_2019.csv
13,spotify:track:3CACzG9I3AoKUKA3ODE5zW,"Damas Gratis, Viru Kumbieron",Me Vas a Extrañar - En Vivo,Pelo Music S.A.,4,8,18,1053533,AR,Argentina,Q1,2019,merged_data_2019.csv
14,spotify:track:48zFZh27QU5qsrBjn4C2FA,"Ozuna, Manuel Turizo",Vaina Loca,VP Records Corp/Dimelo Vi,2,14,28,929835,AR,Argentina,Q1,2019,merged_data_2019.csv
15,spotify:track:3ao3OVxHlb3C08vAaApUlm,"Luis Fonsi, Ozuna",Imposible,UMLE - Latino,13,16,12,918990,AR,Argentina,Q1,2019,merged_data_2019.csv
16,spotify:track:2cYnZNzFRFK0H7vSNxPsUq,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,"Real Hasta La Muerte, LLC",15,17,10,880961,AR,Argentina,Q1,2019,merged_data_2019.csv
17,spotify:track:2zDj4WjbNDmrRL6Z4YjjCA,"Reik, Maluma",Amigos Con Derechos,Columbia,9,18,19,813717,AR,Argentina,Q1,2019,merged_data_2019.csv
18,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,18,21,4,790947,AR,Argentina,Q1,2019,merged_data_2019.csv
19,spotify:track:7dNwJbsT0sg1le5kVugGJb,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Bubalu,Hear This Music,19,22,9,750601,AR,Argentina,Q1,2019,merged_data_2019.csv
20,spotify:track:4KkUjFkcQvGvWekl8RATDn,"6ix9ine, Anuel AA",BEBE (feat. Anuel AA),"ScumGang Records / TenThousand Projects, LLC",8,19,19,742774,AR,Argentina,Q1,2019,merged_data_2019.csv
21,spotify:track:3trowLiYwwOoiwapLISNyk,"Damas Gratis, Viru Kumbieron",No Te Creas Tan Importante - En Vivo,Pelo Music S.A.,10,15,41,726972,AR,Argentina,Q1,2019,merged_data_2019.csv
22,spotify:track:04cd1MHVq1D8v1nuTZoCdv,Piso 21,Puntos Suspensivos,WM Mexico,22,24,15,708054,AR,Argentina,Q1,2019,merged_data_2019.csv
23,spotify:track:62o8KoI44JfN7aYxgTnPvh,Maluma,Mala Mía,Sony Music Latin,8,20,22,658146,AR,Argentina,Q1,2019,merged_data_2019.csv
24,spotify:track:7zAGi1cps7yYhAajGXlFTH,Paulo Londra,Chica Paranormal,WEA Latina,3,23,25,650903,AR,Argentina,Q1,2019,merged_data_2019.csv
25,spotify:track:43Q1jBoHh3pQkh3Oy7TA1g,"LIT killah, Agus Padilla",Tan Bien,WM Argentina,23,25,6,616612,AR,Argentina,Q1,2019,merged_data_2019.csv
26,spotify:track:4uP3pUP18ennmz0tb3GphR,Bad Bunny,Solo de Mi,Rimas Entertainment LLC,26,26,4,613116,AR,Argentina,Q1,2019,merged_data_2019.csv
27,spotify:track:1DcxnVNFAyVl2sDQ646pXS,KEVIN ROLDAN,PPP,UMLE - Latino,27,27,16,612324,AR,Argentina,Q1,2019,merged_data_2019.csv
28,spotify:track:0mAkTqg7vQ8YmpQ7o1I6gR,Duki,Lebron,DALE PLAY Records,28,147,2,569294,AR,Argentina,Q1,2019,merged_data_2019.csv
29,spotify:track:1mT47pKLXUwPYGwB91GcNz,"KAROL G, Maluma",Créeme,UMLE - Latino,29,34,10,550282,AR,Argentina,Q1,2019,merged_data_2019.csv
30,spotify:track:5qFeMRz4TvetPmzjre9Dq7,"J Balvin, Zion & Lennox",No Es Justo,UMLE - Latino,5,28,34,516389,AR,Argentina,Q1,2019,merged_data_2019.csv
31,spotify:track:6q8Lb50EtqNeeJXXe8mMAH,"KAROL G, Anuel AA",Culpables,UMLE - Latino,21,32,17,503581,AR,Argentina,Q1,2019,merged_data_2019.csv
32,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Te Boté - Remix,"Flow La Movie, Inc.",1,29,39,497075,AR,Argentina,Q1,2019,merged_data_2019.csv
33,spotify:track:2ijef6ni2amuunRoKTlgww,"Becky G, NATTI NATASHA",Sin Pijama,Sony Music Latin,1,30,38,458946,AR,Argentina,Q1,2019,merged_data_2019.csv
34,spotify:track:1G586ld1gbaECg4Bc6w40O,"Thalia, NATTI NATASHA",No Me Acuerdo,Sony Music Latin,14,31,32,457066,AR,Argentina,Q1,2019,merged_data_2019.csv
35,spotify:track:59PYgzOiOjGDzjDT5N5oOX,"Brytiago, Daddy Yankee, Ozuna, Anuel AA, Darell",Asesina - Remix,Business Music,27,36,10,455441,AR,Argentina,Q1,2019,merged_data_2019.csv
36,spotify:track:5NrIX1ozc9LGt19ISgPDIY,"TINI, Sebastian Yatra",Quiero Volver,5020 Records,22,33,23,448695,AR,Argentina,Q1,2019,merged_data_2019.csv
37,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",Republic Records,23,37,10,436282,AR,Argentina,Q1,2019,merged_data_2019.csv
38,spotify:track:58qmrrvUkA09szrox83VDp,"Papichamp, ECKO",Árabe,Wapeo,22,35,23,429956,AR,Argentina,Q1,2019,merged_data_2019.csv
39,spotify:track:5VsHkOtg0Llpa6mTGZhp5e,LIT killah,Si Te Vas,WM Argentina,20,40,19,421234,AR,Argentina,Q1,2019,merged_data_2019.csv
40,spotify:track:1uARbfg2RXPtyr6sqVQUif,"C.R.O, Duki",Ella Es una G,Nocita,13,38,8,416046,AR,Argentina,Q1,2019,merged_data_2019.csv
41,spotify:track:278kSqsZIiYp8p3QjYAqa8,Bad Bunny,NI BIEN NI MAL,Rimas Entertainment LLC,41,49,3,409255,AR,Argentina,Q1,2019,merged_data_2019.csv
