rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year,domestic,foreign,country,country_code_wb,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,kmeans_cluster,kmeans_cluster_label
1,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,2,10,2506857,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
2,Paulo Londra,Adan y Eva,WEA Latina,1,1,10,2451964,AR,Argentina,Q1,2019,1,0,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
3,DJ Alex,Leña para el Carbón,DJ Alex,3,3,5,1709216,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
4,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,2,5,13,1427528,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
5,"Duki, DrefQuila",Sin Culpa (feat.DrefQuila),SSJ Records / DALE PLAY Records,5,6,5,1389999,AR,Argentina,Q1,2019,1,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
6,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,4,15,1378374,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
7,"Becky G, Paulo Londra",Cuando Te Besé,Sony Music Latin,1,7,23,1245245,AR,Argentina,Q1,2019,1,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
8,"Daddy Yankee, Anuel AA",Adictiva,Craft Latino,8,12,9,1215592,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
9,J Balvin,Reggaeton,UMLE - Latino,9,11,8,1183089,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
10,Rombai,Me Voy,Sony Music Latin,8,10,15,1172761,AR,Argentina,Q1,2019,0,1,Argentina,AR,0.340080898652055,1.48500687570697,13.8643849479265,125.303,19.5519,135647.0,79.947,17.9248783778462,14.7057366680037,49.1955790596612,49.1955790596612,-2.00086100285785,9955.97478680428,43.3,0.710900853077743,44973465.0,-0.788597917833347,8.009,0.842521815308169,91.991,1,Cluster 1
