rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",1,1,15,"448832"
2,"spotify:track:1rqqCSm0Qe4I9rUvWncaom","Panic! At The Disco","High Hopes","DCD2 / Fueled By Ramen",2,3,23,"410492"
3,"spotify:track:25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","Atlantic Records",2,2,12,"393321"
4,"spotify:track:27rdGxbavYJeBphck5MZAF","Mark Ronson, Miley Cyrus","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Columbia",4,7,6,"362976"
5,"spotify:track:5b9RQx9CLZRZcO1W8PvmcB","Young Igi","Bestia","Universal Music Polska Sp. z o.o.",2,6,16,"327615"
6,"spotify:track:5p7ujcrUXASCNwRaWNHR1C","Halsey","Without Me","Capitol Records",6,20,14,"301142"
7,"spotify:track:4glBRF3uJCf3bTG4hhIhpn","Bedoes 2115, Kubi Producent, Taco Hemingway","Chłopaki nie płaczą","SBM Label",1,13,6,"291288"
8,"spotify:track:5JEx7HbmvHQQswJCsoo9rA","Ellie Goulding, Diplo, Swae Lee","Close To Me (with Diplo) (feat. Swae Lee)","Polydor Records",8,24,9,"287544"
9,"spotify:track:77vLpSAMNzeYL4EBeZxWqI","Dawid Podsiadło","Małomiasteczkowy","Sony Music Entertainment",1,5,32,"274888"
10,"spotify:track:2rPE9A1vEgShuZxxzR2tZH","Ariana Grande","thank u, next","Republic Records",2,11,10,"274574"
11,"spotify:track:1bpjCGto1wM6A8UOmX32o4","Bedoes 2115, Kubi Producent, Rafonix","Toy Story","SBM Label",1,10,7,"273932"
12,"spotify:track:3EPXxR3ImUwfayaurPi3cm","Dean Lewis","Be Alright","Universal Music Australia Pty. Ltd.",12,21,23,"258461"
13,"spotify:track:7r3oAZHfnjuPNOsp8S8NvP","Kubi Producent, Beteo, ReTo, Siles","Bad Boy (feat. Beteo, ReTo & Siles)","Kubi Producent",13,17,3,"257603"
14,"spotify:track:6TfeSFGbqxGjIKuKLQOsKC","Męskie Granie Orkiestra, Dawid Podsiadło, Kortez, Krzysztof Zalewski","Początek","Kayax Production & Publishing",2,8,34,"256298"
15,"spotify:track:3kWcNl9IThew9vwO8UM3fD","Dawid Podsiadło","Nie Ma Fal","Sony Music Entertainment",1,12,14,"253431"
16,"spotify:track:1gnKUue6F9gXXHQshCBwEs","Don Diablo, Emeli Sandé, Gucci Mane","Survive (feat. Emeli Sandé, Gucci Mane)","Intercord",16,36,5,"241628"
17,"spotify:track:3KkXRkHbMCARz0aVfEt68P","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Universal Records",17,27,12,"239688"
18,"spotify:track:2iUXsYOEPhVqEBwsqP70rE","5 Seconds of Summer","Youngblood","Capitol",7,9,39,"237368"
19,"spotify:track:0E9ZjEAyAwOXZ7wJC0PD33","Dynoro, Gigi D'Agostino","In My Mind","Columbia/B1 Recordings",1,4,28,"236717"
20,"spotify:track:3pe05XBTPu2wpWwkVPzuUX","Dawid Podsiadło","Trofea","Sony Music Entertainment",5,26,12,"232228"
21,"spotify:track:13hvHEstJ4sNbzdroPrPI3","Dua Lipa, BLACKPINK","Kiss and Make Up","Warner Records",21,34,12,"230300"
22,"spotify:track:3cvRpuLZT1c7pzuEVwDrUI","Bedoes 2115, Kubi Producent, GOLEC UORKIESTRA","Janosik","SBM Label",9,30,8,"229563"
23,"spotify:track:77URj1iTPpQ2UF0RCqadLv","Szpaku, Deemz","Hinata","GUGU",9,25,12,"228571"
24,"spotify:track:18zllfjrozYQTau1RDQ0jf","Julia Wieniawa","Nie muszę","Kayax Production & Publishing",24,51,7,"209129"
25,"spotify:track:6MWtB6iiXyIwun0YzU6DFP","Post Malone","Wow.","Republic Records",23,23,2,"208792"
26,"spotify:track:5N5k9nd479b1xpDZ4usjrg","Calvin Harris, Sam Smith, Jessie Reyez","Promises (with Sam Smith)","Columbia",5,19,21,"203212"
27,"spotify:track:14JzyD6FlBD5z0wV5P07YI","Billie Eilish","when the party's over","Darkroom/Interscope Records",15,44,12,"196326"
28,"spotify:track:4SDdeq8HUaKPUGiE4WMASH","Kartky, HVZX","Outside","QueQuality",28,42,20,"190825"
29,"spotify:track:3NuK5xMlSlB6K2Qp16zf3h","Clean Bandit, Demi Lovato","Solo (feat. Demi Lovato)","Atlantic Records UK",2,15,34,"189338"
30,"spotify:track:2dpaYNEQHiRxtZbfNsse99","Marshmello, Bastille","Happier","Joytime Collective",16,32,21,"187069"
31,"spotify:track:49uKuntJ8VMAHlF2a0U793","Paluch","Ładni smutni ludzie","Biuro Ochrony Rapu",10,46,7,"186967"
32,"spotify:track:1UJU0fACycSMSDDyKtThyN","Otsochodzi","Worldwide","Asfalt Records",32,39,4,"185189"
33,"spotify:track:3yI9jZu5AE7y7kUCqfBhCA","TACONAFIDE, Quebonafide, Taco Hemingway","Tamagotchi","Taconafide",1,14,42,"183837"
34,"spotify:track:6fSujm54jeDJopx8dVv517","Szpaku","UFO","GUGU",2,47,15,"177188"
35,"spotify:track:4w8niZpiMy6qz1mntFA5uM","DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",8,29,15,"176370"
36,"spotify:track:2CdCs9y04oDuYCF4ewNzI7","Taco Hemingway","Fiji","Taco Corp",1,28,26,"176008"
37,"spotify:track:63SevszngYpZOwf63o61K4","Dennis Lloyd","Nevermind","WM Italy",7,18,43,"172839"
38,"spotify:track:4ofwffwvvnbSkrMSCKQDaC","George Ezra","Shotgun","Columbia",9,58,26,"172116"
39,"spotify:track:0A5gdlrpAuQqZ2iFgnqBFW","Gaullin","Moonlight","Columbia/B1 Recordings",39,67,4,"171959"
40,"spotify:track:2rbDhOo9Fh61Bbu23T2qCk","Lady Gaga","Always Remember Us This Way","A Star is Born OST",40,66,6,"171804"
41,"spotify:track:5Fla3zyOCcIRqrDoKLU0DP","Rita Ora","Let You Love Me","Atlantic Records UK",22,62,16,"171506"
42,"spotify:track:35UvOH0tRlSCdtWtaXuiWh","Dawid Podsiadło","Najnowszy Klip","Sony Music Entertainment",2,40,12,"168991"
43,"spotify:track:2nFaT0t36H6UX3wN3Vxvjm","White 2115","California","SBM Label",6,41,29,"165990"
44,"spotify:track:1ef8jV2jElVL74JzBKo6K7","Sarius, Gibbs","Wiking","Step Dystrybucja",14,43,22,"165548"
45,"spotify:track:01kNniEBXuqdK4ADugK7ke","Paweł Domagała","Wystarczę ja","Domagała-Borowiecki",45,68,8,"164939"
46,"spotify:track:0Jb5dS1yA86aEoW9An0RyW","Dawid Podsiadło","Dżins","Sony Music Entertainment",4,53,12,"160725"
47,"spotify:track:2FY7b99s15jUprqC0M5NCT","Imagine Dragons","Natural","Kid Ina Korner / Interscope",5,35,25,"160569"
48,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",2,22,40,"159996"
49,"spotify:track:39VigLq155fsriPYNfHIBc","Kortez","Hej wy","Jazzboy",49,72,16,"159152"
50,"spotify:track:4oiXEXaXR2IPf3GVms9MLK","Bedoes 2115, Kubi Producent","05:05","SBM Label",3,48,55,"157430"
51,"spotify:track:3KLygy1YWhmrQx0GRs7IOx","Jonas Blue, Jack & Jack","Rise","Positiva",8,33,32,"155160"
52,"spotify:track:30K9xVNSog0DVr5ey5yVoY","Lost Frequencies, The NGHBRS","Like I Love You","Found Frequencies",52,65,4,"153775"
53,"spotify:track:4LDcQ9sLkKCie4XcKaEwJD","Eldzhey, FEDUK","Розовое вино","Warner Music Russia",1,16,31,"152769"
54,"spotify:track:2xLMifQCjDGFmkHkpNLD9h","Travis Scott","SICKO MODE","Cactus Jack / Epic",42,56,23,"152480"
55,"spotify:track:5jakU1mpB03Dkl1ao0XlyK","Paweł Domagała","Weź nie pytaj","Domagała-Borowiecki",5,49,29,"150150"
56,"spotify:track:6wDtibjIVioLrixYSINM2C","Szpaku, PSR","W krainie czarów","GUGU",21,81,12,"149754"
57,"spotify:track:5s6jooT9ZcUjjD5qVx9B5K","TACONAFIDE, Quebonafide, Taco Hemingway, Bedoes 2115","8 kobiet - Remix","Szcześniak / Grabowski",4,57,38,"149035"
58,"spotify:track:0uL88Lp7C6i2WGHub1zrJ9","The Prince Karma","Later Bitches","Ultra Records, LLC",27,63,15,"148782"
59,"spotify:track:7K7MUBCnzgBAvMVW2RTWNs","Loud Luxury, Brando","Body","Armada Music",6,37,27,"144691"
60,"spotify:track:76cy1WJvNGJTj78UqeA5zr","Dua Lipa","IDGAF","Warner Records",1,31,53,"144323"
61,"spotify:track:3ee8Jmje8o58CHK66QrVC2","XXXTENTACION","SAD!","Bad Vibes Forever, LLC",9,61,45,"142119"
62,"spotify:track:7KMMRJ4dtn1rFXCXseKzYc","Otsochodzi","Euforia","Asfalt Records",12,70,17,"140680"
63,"spotify:track:6MBvwe7DJPyMnmwXX86mKX","Dawid Podsiadło","LIS","Sony Music Entertainment",7,73,12,"138972"
64,"spotify:track:0xoUDiOLXqp9qB3S9FkvUI","Bedoes 2115, Kubi Producent, Koldi, Young Multi, Beteo","Delfin","SBM Label",22,103,6,"130576"
65,"spotify:track:0SFOGPodZ7R3L0G3d4lkpN","Roxie","Anyone I Want To Be - Junior Eurovision 2018 / Poland","Universal Music Polska Sp. z o.o.",65,108,3,"130256"
66,"spotify:track:6SRWhUJcD2YKahCwHavz3X","Alan Walker, Au/Ra, Tomine Harket","Darkside","Kreatell Music",21,85,23,"129811"
67,"spotify:track:2RSHsoi04658QL5xgQVov3","Imagine Dragons","Bad Liar","Kid Ina Korner / Interscope",16,93,9,"129535"
68,"spotify:track:7tFiyTwD0nx5a1eklYtX2J","Queen","Bohemian Rhapsody - Remastered 2011","Hollywood Records",24,71,13,"129471"
69,"spotify:track:3FwWzOCkDwhu1RWTz3CSxJ","Dawid Podsiadło","Nie Kłami","Sony Music Entertainment",6,76,12,"129298"
70,"spotify:track:0Gws6vklfh5R14Vo8lGbIw","Szpaku, Włodi","Oddajemy krew wampirom","GUGU",28,90,12,"129247"
71,"spotify:track:1S4Xvvzn0WDEWvZlCTsMko","PlanBe","Klepsydra","QueQuality",20,94,13,"128028"
72,"spotify:track:0yd4OCmrcqvsAMUJGCMEFQ","ReTo, Quebonafide","Sorry Dolores","New Bad Label",8,59,28,"127859"
73,"spotify:track:1NJcg626wLln4pGHpiV7mf","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",31,96,36,"127560"
74,"spotify:track:0e7ipj03S05BNilyu5bRzt","Post Malone, 21 Savage","rockstar (feat. 21 Savage)","Republic Records",1,55,69,"127556"
75,"spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z","Kodak Black, Offset, Travis Scott","ZEZE (feat. Travis Scott & Offset)","Atlantic Records",56,78,13,"127463"
76,"spotify:track:2LskIZrCeLxRvCiGP8gxlh","XXXTENTACION, Lil Pump, Swae Lee, Maluma","Arms Around You (feat. Maluma & Swae Lee)","Warner Records",27,95,11,"126722"
77,"spotify:track:5kfNriitmkNE8mUbZ7gbq8","Khalid","Saturday Nights","Right Hand Music Group, LLC/RCA Records",77,120,2,"126350"
78,"spotify:track:0FoR0PrLkw6t64waJX3qT5","Brodka, A_GIM","Wszystko czego dziś chcę (Z serialu Rojst na Showmax)","Kayax Production & Publishing",26,98,23,"124633"
79,"spotify:track:09FEC2H0Ls5bXMSFj2bLzL","Deemz, Bedoes 2115, Young Multi","Gucci Mane","Universal Music Polska Sp. z o.o.",14,82,12,"124184"
80,"spotify:track:6QgjcU0zLnzq5OrUoSZ3OK","Portugal. The Man","Feel It Still","Atlantic Records",3,38,78,"123761"
81,"spotify:track:4cIEQ6n11b04xjMqZri4ui","Otsochodzi, Taco Hemingway","Nowy Kolor","Asfalt Records",5,52,71,"123366"
82,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Ed Sheeran","Shape of You","Atlantic Records UK",1,45,105,"122964"
83,"spotify:track:5AOqxn4l8BHO0or40XxCuh","LP","Girls Go Wild","BMG Rights Management (US) LLC",64,100,15,"122473"
84,"spotify:track:0todbbT9g5uQGbeFCiBf2F","Ariana Grande","imagine","Republic Records",39,79,4,"121936"
85,"spotify:track:7dt6x5M1jzdTEt8oCbisTK","Post Malone","Better Now","Republic Records",23,69,36,"119831"
86,"spotify:track:1jdJ8v9sl3mF2yI8oA6xds","Deemz, Szpaku, Białas","Ból","Universal Music Polska Sp. z o.o.",46,105,25,"118320"
87,"spotify:track:2qT1uLXPVPzGgFOx4jtEuo","Ariana Grande","no tears left to cry","Republic Records",6,74,38,"117583"
88,"spotify:track:3ZtwbXCqEBHGZb3ClUflnS","Guzior, ReTo","Tatuaże z henny","QueQuality",46,101,12,"117541"
89,"spotify:track:0YammaEkYSeo9vQYZ1OwS6","David Guetta, Bebe Rexha, J Balvin","Say My Name","Parlophone UK",89,159,4,"117418"
90,"spotify:track:08bNPGLD8AhKpnnERrAc6G","Marshmello, Anne-Marie","FRIENDS","Joytime Collective",2,50,47,"116744"
91,"spotify:track:54NQP70Bn4nAspwZODu732","Blacha 2115","Casablanca","2115",19,99,23,"115979"
92,"spotify:track:7fa9MBXhVfQ8P8Df9OEbD8","Maroon 5, Cardi B","Girls Like You (feat. Cardi B) - Cardi B Version","Interscope Records*",21,86,31,"115846"
93,"spotify:track:6h5PAsRni4IRlxWr6uDPTP","Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso","More Than You Know","Pophouse Entertainment Group",2,54,85,"115758"
94,"spotify:track:3Vmq9lE9ayaO1wpcdxjn7c","ReTo, SecretRank","UA","New Bad Label",10,84,35,"115048"
95,"spotify:track:5e9W2qLDY70YVojCFQO14u","Sarsa","Zakryj","Universal Music Polska Sp. z o.o.",95,122,5,"114217"
96,"spotify:track:58q2HKrzhC3ozto2nDdN4z","Cardi B, Bad Bunny, J Balvin","I Like It","Atlantic/KSR",10,60,33,"113794"
97,"spotify:track:0OGNtqKkjI7FCE9HZ4Khgo","Dermot Kennedy","Power Over Me","UMGRI Interscope",97,156,4,"113137"
98,"spotify:track:2fsUx17P1kqo8s5LZKO8oh","Gromee, Jesper Jenset","One Last Time (feat. Jesper Jenset)","Sony Music Entertainment",15,80,25,"113080"
99,"spotify:track:5CLGzJsGqhCEECcpnFQA8x","Rudimental, Jess Glynne, Macklemore, Dan Caplen","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Atlantic Records UK",9,89,49,"112698"
