rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3ySRhREV5ceozxdk0lPqIe","Dree Low","PIPPI","Top Class Music",1,1,6,"1586414"
2,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",1,2,18,"1575511"
3,"spotify:track:5RbbypMC1xhw1Kqdmu5uDd","Greekazo, DnoteOnDaBeat, Yei Gonzalez","Sprayad","Universal Music AB",3,-1,1,"1448758"
4,"spotify:track:2W9WzW1Ot0YrWpJwWoRRVO","Greekazo, DnoteOnDaBeat","HotSpot","Universal Music AB",3,3,10,"1175382"
5,"spotify:track:3YCAQEpuFtgVVhEDJsW3gQ","estraden, Victor Leksell","Bra för dig","Midsommarnatt (AB)",2,5,6,"1021372"
6,"spotify:track:3eekarcy7kvN4yt5ZFzltW","Travis Scott","HIGHEST IN THE ROOM","Cactus Jack/Epic",6,-1,1,"1008232"
7,"spotify:track:6yMlFbOT0gNy7Qlsrn2jD7","Aden x Asme, Aden, Asme","Starta vågen","WM Sweden",4,4,3,"934550"
8,"spotify:track:5lIIqqDPVlde8kScL8F0Mg","Dani M, Prodotto di Superti, Aden x Asme, Newkid, Linda Pira, Jireel, Ricky Rich","LeyLey (feat. Newkid, Linda Pira, Jireel & Ricky Rich) - F.A.M.E REMIX","GMG SWEDEN AB",8,-1,1,"918029"
9,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,7,47,"898693"
10,"spotify:track:5MwNk30sG4xRpsDdUgUwC2","Dree Low, Einár","DAG HAMMARSKJÖLD","Top Class Music",6,6,6,"856183"
11,"spotify:track:0pHeYnigEgjN0vbQhUwXqd","Einár, Greekazo","Nr 1","Independent",6,8,6,"725148"
12,"spotify:track:1vyWquflaiRZNvmDMAXedU","Einár","Nu Vi Skiner","Independent",2,9,8,"676148"
13,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,10,16,"674205"
14,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",7,12,6,"660880"
