rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3UE1ojFN1y0GybCNSyKGdK","Shindy","What's Luv","Sony Music/Friends with Money",1,-1,1,"3682320"
2,"spotify:track:127QTOFJsJQp5LbJbu3A1y","Drake","Toosie Slide","OVO",2,-1,1,"3557633"
3,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,3,19,"3429364"
4,"spotify:track:719aY5gAzJbx2PHjyalZQu","Zuna, Loredana, SRNO","Du bist mein","KMN Gang",1,1,2,"3397839"
5,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Craft Recordings",4,7,21,"3214307"
6,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Intercord",5,9,14,"2556697"
7,"spotify:track:4n0Ke1KJsPHvd7xRoU29E2","Dardan, Monet192","H <3 T E L","Hypnotize Entertainment",1,5,3,"2522631"
8,"spotify:track:2TrhpvxwuF6hrboTdRXwnS","Ufo361","Allein sein","Stay High",2,2,2,"2507898"
9,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,10,36,"2191464"
10,"spotify:track:0gThlZWwZWkDqRKGOz2CN1","Symba","Angels Sippen","SME - Symba",10,20,2,"2169523"
11,"spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M","Apache 207","Roller","Four Music Local",1,11,33,"2029022"
12,"spotify:track:7vgv8KZBSo0TPzyIWG9yzV","Ava Max","Salt","Atlantic Records",12,16,8,"2026778"
13,"spotify:track:61ZM92T2zaXIVsqncThQzC","Robin Schulz, Alida","In Your Eyes (feat. Alida)","WM Germany",12,12,13,"2006838"
14,"spotify:track:14P8s5aiDr32gcQ5ESaYBO","Kontra K","Puste sie weg","BMG Rights Management GmbH",4,4,2,"1963996"
15,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",15,17,7,"1961115"
16,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",11,14,15,"1874458"
17,"spotify:track:3eZW9A7HaDmkyFyUlqIUM5","Farid Bang, 18 Karat, AK AUSSERKONTROLLE","LOCO (feat. 18 Karat & AK Ausserkontrolle)","Farid Bang II/WM Germany",17,-1,1,"1810967"
18,"spotify:track:4K9BEykCbkN1y0by5VAruR","KAYEF","Ich würd' lügen","Kayef Media",18,-1,1,"1801614"
19,"spotify:track:1KKooKZBpTAPVFjGvStjsa","Luciano","Trippin’","Urban",6,6,2,"1685604"
20,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",20,37,5,"1588910"
21,"spotify:track:1vZqDXhvyXAwSM8V6MU0N5","CÉLINE","Tränen aus Kajal","BTGS / A Million / Groove Attack",21,-1,1,"1561419"
22,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Warner Records",19,23,23,"1543997"
23,"spotify:track:1V7JaMp11LKGwKiVmSetf0","Joker Bra, VIZE","Baby","Bra Musik",1,19,10,"1530350"
24,"spotify:track:1RMuMJhAQytXNprgnecK72","Eno, Murda","Was machst du","Alles Oder Nix Records",24,-1,1,"1529782"
25,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",25,29,9,"1473380"
26,"spotify:track:22LAwLoDA5b4AaGSkg6bKW","Lil Mosey","Blueberry Faygo","Mogul Vision/Interscope Records",26,38,8,"1445524"
27,"spotify:track:3AzjcOeAmA57TIOr9zF1ZW","Dua Lipa","Physical","Warner Records",25,25,10,"1424035"
28,"spotify:track:78qd8dvwea0Gosb6Fe6j3k","Doja Cat","Boss Bitch","Atlantic Records",28,45,5,"1416353"
29,"spotify:track:6xMBPfgaEQKshwp7oYrtP4","AK AUSSERKONTROLLE, Shindy","Hood","XY Records & Vertigo Berlin",8,8,2,"1396590"
30,"spotify:track:4nK5YrxbMGZstTLbvj6Gxw","BENEE, Gus Dapperton","Supalonely","Republic Records",26,31,5,"1392308"
31,"spotify:track:29Rfso2W1pERTuboGe3avy","Azzi Memo, Nate57, Veysel, Sinan-G, Kool Savas, NKSN, Rola, Disarstar, Maestro, Hanybal, Celo & Abdi, Manuellsen, Silla, Credibil, Ali471, Milonair, Mortel, KEZ","Bist du wach? (Benefiz für Hanau) [feat. Nate57, Veysel, Sinan G, Kool Savas, NKSN, Rola, Disarstar, Maestro, Hanybal, Celo & Abdi, Manuellsen, Silla, Credibil, Ali471, Milonair, Mortel, KEZ]","WM Germany",31,-1,1,"1382460"
32,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",8,27,21,"1379277"
33,"spotify:track:4PU3QFQOlTWnSnpDCIbQtO","Shindy","Sony Pictures","Sony Music/Friends with Money",33,-1,1,"1369256"
34,"spotify:track:3tSy9yUo0rb1LR61CS5O7l","Soolking, MERO","Hayati","Universal Music Division Capitol Music France",6,15,3,"1349673"
35,"spotify:track:7N06jo3EnV792VFaG8vuW6","Felix Jaehn, VIZE, Miss Li","Close Your Eyes","Intercord",22,33,16,"1315706"
36,"spotify:track:3R3rQ7FbTJdsi5She10YvI","Loredana, Rymez","Angst","Loredana",1,22,5,"1303018"
37,"spotify:track:4VyJtzcNhnV9gPEgjYzI8L","Samra, Capital Bra","Berlin","Urban",2,13,4,"1294032"
38,"spotify:track:3l72nWivgNKYMFC7OwMEO0","LEA","Treppenhaus","Four Music/Treppenhaus Records",29,34,5,"1266681"
