rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","KAROL G, Nicki Minaj","Tusa","TUSA - Karol G & Nicki Minaj",1,1,9,"3041607"
2,"spotify:track:6RyuoOJXNzlVWpfC5xQyeI","Omar Montes, Bad Gyal","Alocao (With Bad Gyal)","Bad Gyal Aftercluv/Interscope",1,2,11,"1960463"
3,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",3,3,18,"1914971"
4,"spotify:track:5Cbo7oz78gqkzV3EAM63VA","Aitana, Cali Y El Dandee","+","Universal Music Spain S.L.",2,4,4,"1829598"
5,"spotify:track:0OP1RzrglC008kj79Httv3","Bad Gyal","Zorra","Bad Gyal Aftercluv/Interscope",2,5,4,"1592756"
6,"spotify:track:5DxXgozhkPLgrbKFY91w0c","Bad Bunny","Vete","Rimas Entertainment LLC",2,6,7,"1577604"
7,"spotify:track:59s0s39NFWScuHDbHytI14","Reik, J Balvin, Lalo Ebratt","Indeciso","Indeciso",3,7,20,"1560286"
8,"spotify:track:2ksOAxtIxY8yElEWw8RhgK","Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","2019 Real Hasta La Muerte, LLC.",1,9,25,"1465806"
9,"spotify:track:6cy3ki60hLwimwIje7tALf","Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","Epic/We The Best",2,11,13,"1450879"
10,"spotify:track:2pWOMNQJW3g2zmGjP0Vkb0","Nicky Jam, Anuel AA","Whine Up","Sony Music Latin",5,10,11,"1450041"
11,"spotify:track:2rc7BkzO8qepMFAxHtOrXc","J Balvin","Blanco","UMLE - Latino",8,8,8,"1443646"
12,"spotify:track:5stPVcRqb4qixbafP9e8lt","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","Rich Music",12,13,10,"1371361"
13,"spotify:track:3W87IIdSOE63W0Qyhy7r2b","Beret","Si por mi fuera","WM Spain",3,15,12,"1326511"
14,"spotify:track:37zdqI4r1gswIzczSBkRon","Lunay, Anuel AA, Ozuna","Aventura","round2media - LaFamilia",4,12,11,"1269460"
15,"spotify:track:0Cn8NxJZz7zUlsaA3rXoIU","JHAYCO, Ozuna","Easy - Remix","N&E Entertainment LLC",13,14,8,"1193553"
16,"spotify:track:6mAN61JH0dzyZpWslS11jy","Rauw Alejandro, Farruko","Fantasias","(SME US Latin) Duars Entertainment, Corp. (2)",3,16,19,"1182771"
17,"spotify:track:3VPOZWtj8mM89IiRNygxgS","Fred De Palma, Ana Mena","Se iluminaba","WM Italy",17,19,11,"1107284"
18,"spotify:track:71NGDQ9vSPXm55pyWeAxKK","Chimbala","Rueda","Chimbala",11,17,15,"1052003"
19,"spotify:track:7sQKy5vlPQllr0k9IjYJv3","Arcángel, Sech, Dímelo Flow","Sigues Con El","Rimas Entertainment LLC.",19,22,4,"1022609"
20,"spotify:track:3jbT1Y5MoPwEIpZndDDwVq","Tainy, Anuel AA, Ozuna","Adicto (with Anuel AA & Ozuna)","NEON16/Interscope Records",2,18,20,"1004868"
21,"spotify:track:7BlBVFwvbWvcwNcUarQmjk","ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","Columbia",2,21,21,"926223"
22,"spotify:track:7bsqRe39lKOYX45FZpzP9o","Lérica, Juan Magán","Fuera De Mi Mente","Universal Music Spain S.L.",22,23,9,"919282"
23,"spotify:track:0RDgqtvOHLwcI6yz9bjsZV","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid","Perreo en La Luna","Rich Music",23,24,13,"915694"
24,"spotify:track:0dDboLfmRNsTBscy4j3Rnl","Ozuna","Hasta Que Salga el Sol","Aura Music Corp.",19,20,9,"905228"
25,"spotify:track:4fj7e6Tc48Bmomwyz2Z2XC","Manuel Turizo, Anuel AA","Te Quemaste","Sony Music Latin/La Industria",4,25,20,"884773"
26,"spotify:track:7KKTnv81z6DmfPIGsZWjOW","La Nueva Escuela, Omar Montes","La Rubia - Remix 2","829Music Mundial LLC",7,26,34,"836283"
27,"spotify:track:0OoqRZXnSrgIUAha3iLKG1","Lunay, Myke Towers","La Cama","round2media - LaFamilia",18,27,12,"832154"
28,"spotify:track:4o1DxRjMCHDwBiOKv88rOl","Rvssian, Darell, Zion & Lennox, Myke Towers","B11 (feat. Myke Towers)","Sony Music Latin",25,28,16,"830137"
29,"spotify:track:6Y4PDQv4XjYjHLeLmvyOt0","Sech, Ozuna","Si Te Vas","Rich Music",8,29,15,"819724"
30,"spotify:track:1Xnn1TPyr5h0hpRAT4B4EA","Dalex, Lenny Tavárez, Anitta, NATTI NATASHA, Farruko, Justin Quiles","Bellaquita - Remix","Rich Music",27,30,7,"803741"
31,"spotify:track:696DnlkuDOXcMAnKlTgXXK","Arizona Zervas","ROXANNE","Arizona Zervas",31,38,9,"771276"
32,"spotify:track:671sG3ETDxC3L6qcGIrHRM","Morat","A Dónde Vamos","Universal Music Spain S.L.",32,37,10,"771109"
33,"spotify:track:17VsiwLi1ovKYdVUqDieGC","Rvfv, Omar Montes, Daviles de Novelda","Prendio - Remix","NASTU MUSIC",33,34,3,"763048"
34,"spotify:track:471HeGJPKw07MObixON0Um","Pablo Alborán, Ava Max","Tabú","WM Spain",21,45,9,"761831"
35,"spotify:track:1pUq8PePQRODKRKwY2nvC8","Rvfv","Prendío","NASTU MUSIC",14,31,19,"753117"
36,"spotify:track:40rXWke6SnXiGkSmaT8ZUr","Ozuna","Fantasía","Aura Music Corp.",12,32,6,"740241"
37,"spotify:track:5Id5B3dxJZhPcV9GzgYZZe","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion","Quizas","Rich Music",16,35,16,"717851"
38,"spotify:track:3u5GmyJP2MU3tEJgyiAG2T","Sinsinati, Álvaro De Luna","Indios y Vaqueros","WM Spain",19,46,27,"712325"
39,"spotify:track:6uzGmmQ4CuG9HvZktEy0LF","Manuel Carrasco","Qué Bonito Es Querer","Universal Music Spain S.L.",39,49,27,"707542"
40,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",40,52,15,"700135"
41,"spotify:track:1ndyl3wJCFs872XZ3ztPk6","Justin Quiles, NATTI NATASHA, Farruko, Lenny Tavárez, Dalex, Zion","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","WEA Latina",13,39,18,"688533"
42,"spotify:track:1IDFcb3cjkj2dhv3UaxX9b","Danny Romero, Lérica","De Tranquilote","24/7 Management & The Nova Management",5,43,27,"685352"
43,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,36,32,"676298"
44,"spotify:track:41L3O37CECZt3N7ziG2z7l","Justin Bieber","Yummy","RBMG/Def Jam",44,-1,1,"667555"
45,"spotify:track:6uW0PIRcyZLvkoonm763xD","Don Patricio, Cruz Cafuné","Contando Lunares (feat. Cruz Cafuné)","WM Spain",1,40,49,"658197"
46,"spotify:track:4bTZeO72FwMa6wKOiqoynL","Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","Rich Music",2,41,24,"658061"
47,"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Trevor Daniel","Falling","Alamo",47,53,6,"633976"
