rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:58dxGXavrcagRqA58fNB0Z","OFFICIAL HIGE DANDISM","Pretender","PONY CANYON INC.",1,1,38,"1342391"
2,"spotify:track:0mNO3xUzjsI17GXO1DRFCH","King Gnu","白日","Sony Music Labels Inc.",2,2,46,"1118094"
3,"spotify:track:2yozZfRYHP7Elsymghu5t3","OFFICIAL HIGE DANDISM","Shukumei","PONY CANYON INC.",2,3,27,"891933"
4,"spotify:track:4Jj31lihp5Nvdi4lFRjrqc","SUDA MASAKI","まちがいさがし","Sony Music Labels Inc.",3,4,32,"843642"
5,"spotify:track:3S3DDZrPOYTirleXRyHnNM","OFFICIAL HIGE DANDISM","Yesterday","PONY CANYON INC.",3,5,18,"776058"
6,"spotify:track:5DMEvbg3gUmiR5HIBWdveV","OFFICIAL HIGE DANDISM","No Doubt","LASTRUM",3,6,91,"705453"
7,"spotify:track:278JqkBGkjDovOYAwE8TW7","OFFICIAL HIGE DANDISM","115 million kilometer film","LASTRUM",7,8,36,"627011"
8,"spotify:track:2cKiHG16JBiqHdi7Llq0r7","Aimyon","Marigold","WM Japan",1,7,77,"625495"
9,"spotify:track:23DbzwNJSLo7nkSWjODMvY","LiSA","紅蓮華","Sony Music Labels Inc.",9,9,11,"586523"
10,"spotify:track:0QKmcZNAST4GytJYmkN05D","SUDA MASAKI","さよならエレジー","Sony Music Labels Inc.",1,10,98,"511077"
11,"spotify:track:2jdbZGFp8KVTuk0YxDNL4l","back number","高嶺の花子さん","Universal Music LLC",8,11,45,"489956"
12,"spotify:track:0IrfTmWz97ZoKbBICyslv9","King Gnu","Teenager Forever","Sony Music Labels Inc.",10,14,3,"487091"
13,"spotify:track:68KMKHen3fHDgD8z1aBWCK","King Gnu","飛行艇","Sony Music Labels Inc.",9,17,22,"482031"
14,"spotify:track:1NkiR42rILTQYYEGs7izYv","King Gnu","傘","Sony Music Labels Inc.",11,19,13,"464171"
15,"spotify:track:7MhJmtlNl6R0oppdG59CaI","OFFICIAL HIGE DANDISM","Stand By You","PONY CANYON INC.",7,13,66,"459180"
16,"spotify:track:2vOAHp8PBBFYqvQUWSoITY","Mrs. GREEN APPLE","インフェルノ","Universal Music LLC",16,16,25,"457887"
17,"spotify:track:5P8ZvBQoCrujjNcLAxO3Su","back number","クリスマスソング","Universal Music LLC",6,12,46,"436049"
18,"spotify:track:59eluCMn0XbOWqeWQ91FTM","Aimyon","君はロックを聴かない","WM Japan",2,15,101,"435045"
19,"spotify:track:3wJHCry960drNlAUGrJLmz","Yorushika","ただ君に晴れ","U&R records",18,20,53,"427598"
20,"spotify:track:77lmDcPPyY6kK907gdgC6i","Mr.Children","HANABI","Toy's Factory",1,18,87,"420718"
21,"spotify:track:5BC6kr6etk2Y9J62AyI4i3","Mrs. GREEN APPLE","青と夏","Universal Music LLC",6,21,78,"397400"
22,"spotify:track:7tGDXCPLpAScEwmqab9YZd","Novelbright","Walking with you","Emperor Mode",21,30,14,"377479"
23,"spotify:track:4zdQmfTLWgGd5mAX4MUIaX","ARASHI","Turning Up","Storm Labels Inc.",7,40,10,"372579"
24,"spotify:track:0ssEfLe9aqPhMmLXKqBw6J","back number","ハッピーエンド","Universal Music LLC",13,23,46,"367769"
