rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2JPLbjOn0wPCngEot2STUS","Bad Bunny","Yonaguni","Rimas Entertainment LLC",1,1,18,"700792"
2,"spotify:track:1SCYfmGM5ueb6YiiQbLXVn","Feid","SI TÚ SUPIERAS - Bonus Track","Universal Music Latino",1,2,7,"660946"
3,"spotify:track:17jcYtUYRhpPL19fDedfTD","Ryan Castro","Wasa Wasa","Holdings",3,3,9,"616715"
4,"spotify:track:2rDZhKnPaPG054ExZ6nXUS","Ryan Castro","Jordan","Holdings",4,12,22,"585797"
5,"spotify:track:2vmfvSoZBFAt9hhRoEByLi","Aventura, Bad Bunny","Volví","Rimas Entertainment LLC",3,5,10,"533163"
6,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",2,4,13,"527305"
7,"spotify:track:4HzqWEdAbzcVFDv0pvxV4w","Maluma","Sobrio","Sony Music Latin",6,6,13,"510573"
8,"spotify:track:5RwV8BvLfX5injfqYodke9","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",1,7,20,"508085"
9,"spotify:track:0G2zPzWqVjR68iNPmx2TBe","Mora, Bad Bunny, Sech","Volando - Remix","Rimas Entertainment LLC",5,9,13,"498360"
10,"spotify:track:6D2TCm4nf5nxAcdGJ7w3QP","J Balvin, Maria Becerra","Qué Más Pues?","Sueños Globales, LLC",2,8,19,"498302"
11,"spotify:track:05bfbizlM5AX6Mf1RRyMho","Nio Garcia, J Balvin, Bad Bunny","AM Remix","Flow La Movie",3,11,15,"468851"
12,"spotify:track:7iqOIHHEmu6Vhw25GgQ2eA","J Balvin, Sech","Una Nota","Sueños Globales, LLC",8,10,4,"423122"
13,"spotify:track:2K1CQMoG2Dy5nmeOYnhoi8","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander","Poblado - Remix","Sueños Globales, LLC",4,13,16,"402305"
14,"spotify:track:3eFL5cxO22TpyjK3wNb27q","Feid","TE MATA","Universal Music Latino",10,14,7,"390511"
15,"spotify:track:704LUEih663hiE3CnyUrFW","KAROL G","SEJODIOTO","UMLE - Latino",15,18,3,"387675"
16,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, JHAYCO","DÁKITI","Rimas Entertainment LLC",1,15,49,"381273"
17,"spotify:track:0aZnyTWJNgdzYoOiaW8HKG","KAROL G","200 COPAS","UMLE - Latino",15,17,28,"363894"
18,"spotify:track:3PwRuzdphgedcWVUOVYJ7I","Rauw Alejandro","Cúrame","Sony Music Latin/Duars Entertainment",18,22,11,"352042"
19,"spotify:track:3JCaq3KDSROg3TXhdiDa9n","JHAYCO, Anuel AA","Ley Seca","N&E Entertainment LLC",16,16,5,"344471"
20,"spotify:track:57pkksnRS4NOOphTmoRlK2","Feid","TENGO FE","Universal Music Latino",4,19,11,"342660"
21,"spotify:track:0PwFN7vRvY80Hnkoew2x3f","Rauw Alejandro, Mr. Naisgai","2/Catorce","Sony Music Latin/Duars Entertainment",5,24,26,"336301"
22,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",16,21,13,"326916"
23,"spotify:track:2rCbl9naJYhaxjLsfx88uM","Sebastian Yatra, Myke Towers","Pareja Del Año","UMLE - Latino",3,23,25,"321744"
24,"spotify:track:2FSGUA0gFgGeQdprjtGM2M","KAROL G, Mariah Angeliq","EL MAKINON","UMLE - Latino",4,26,28,"312539"
25,"spotify:track:4gzsuuZypVbxs0Af1LSZyB","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Neon16",25,-1,1,"304360"
26,"spotify:track:27RSJHEA99Y0Vsow7nA37A","Sech, JHAYCO","911 (Remix)","Rich Music",9,30,13,"299777"
27,"spotify:track:4bF2y8rR7GUjrd5LNEvej3","Ingratax","París","Room28",13,28,12,"296142"
28,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",2,33,69,"293909"
29,"spotify:track:3FeVmId7tL5YN8B7R3imoM","Coldplay, BTS","My Universe","Parlophone UK",20,20,2,"292847"
30,"spotify:track:66S2z95FN3nUAr9S1gUIsp","Boza","Ella","Sony Music Latin",30,32,19,"292338"
31,"spotify:track:5PSgIaJp6mjIoO5y8kNkrK","Blessd, The Rudeboyz","Hace Tiempo","WM Mexico",24,29,13,"290269"
32,"spotify:track:0bI7K9Becu2dtXK1Q3cZNB","Tiësto, KAROL G","Don't Be Shy","Atlantic Records",25,31,8,"278329"
33,"spotify:track:4T18CIOag4LfuqqfzyBQmw","Ryan Castro","Malory","King Records",33,35,2,"277947"
34,"spotify:track:6Se3CKRvYOyuzHGdHAooem","J Balvin, Feid","Bebé Que Bien Te Ves","Sueños Globales, LLC",14,25,4,"277878"
35,"spotify:track:7bx66Je824Iak8c1CfsMrE","Blessd, Javiielo, Neutro Shorty, Big Soto","Dos Problemas (feat. Big Soto) - Remix","WM Mexico",29,38,9,"274162"
36,"spotify:track:35xvhWIZMpsDcJxr14Ukbx","Feid, Sky Rompiendo","CHIMBITA","Universal Music Latino",5,34,43,"270838"
37,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",37,42,11,"266896"
38,"spotify:track:5eaLGyPrVG7FbZ5vVnBm93","Blessd, Maluma","IMPOSIBLE - REMIX","Sony Music Latin",13,37,21,"265186"
39,"spotify:track:0cOa970mzTWAxKtltpkpLc","TINI, Maria Becerra","Miénteme","Sony Music Latin",23,36,22,"259069"
40,"spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK","Gera MX, Christian Nodal","Botella Tras Botella","Virgin Music México",3,40,24,"254621"
41,"spotify:track:5ZyNCQmxZlYZfAHeJXTkI2","Feid","JORDAN IV","Universal Music Latino",12,39,7,"251902"
42,"spotify:track:1xK1Gg9SxG8fy2Ya373oqb","Myke Towers, Juhn","Bandido","White World Music",1,44,43,"248457"
43,"spotify:track:1q0PYXTbDsirp2l74ng6pn","J Balvin, Skrillex","In Da Getto","Sueños Globales, LLC",15,27,14,"245278"
44,"spotify:track:5u7twkeask1VIyDeNTElSU","Sech","Sal y Perrea","Rich Music",13,46,24,"239182"
45,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",41,41,6,"237779"
46,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,45,62,"236224"
