rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3NbehQmQsyuN17EP7dW5mJ","Sick Luke, thasup, Sfera Ebbasta","SOLITE PARE (feat. thasup & Sfera Ebbasta)","Universal Music Italia srL.",1,-1,1,"5012169"
2,"spotify:track:1QlqHpITeEHB4EWFGqks9J","Sick Luke, Shiva, Capo Plaza, Tedua, Pyrex","DREAM TEAM (feat. Pyrex, Capo Plaza, Tedua & Shiva)","Universal Music Italia srL.",2,-1,1,"3027383"
3,"spotify:track:3jREEhgXvvwzyCW1iGWP38","Sick Luke, Franco126, Coez, Ketama126","FALENA (feat. Franco126, Coez & Ketama126)","Universal Music Italia srL.",3,-1,1,"2299277"
4,"spotify:track:28PVVfLs3utC1poGA0SYQs","Sick Luke, ARIETE, Mecna","IL GIORNO PIÙ TRISTE DEL MONDO (feat. Ariete & Mecna)","Universal Music Italia srL.",4,-1,1,"2002410"
5,"spotify:track:6aBaooPpseTRI01stV7f58","Sick Luke, Ernia, Geolier","CREATUR (feat. Geolier & Ernia)","Universal Music Italia srL.",5,-1,1,"1943540"
6,"spotify:track:2VyZWWKamfq7kVnh5gMgPd","Marracash, Guè","∞ LOVE (feat. Guè)","Universal Music Italia srL.",1,1,8,"1896531"
7,"spotify:track:2N3lyNW0cOeJzVNWo85Ci8","Sick Luke, Gazzelle, Tedua","NOTTE SCURA (feat. Gazzelle & Tedua)","Universal Music Italia srL.",7,-1,1,"1833040"
8,"spotify:track:0xD1pdwAdoa6SrBPoOyHDz","Sick Luke, Drast, Leon Faun","SOGNI MATTI (feat. Leon Faun & Drast)","Universal Music Italia srL.",8,-1,1,"1821941"
9,"spotify:track:0ZA3ynCwEXH9sU5TCFRaTs","Sick Luke, Ghali, Tony Effe","HENTAI (feat. Ghali & Tony Effe)","Universal Music Italia srL.",9,-1,1,"1753474"
10,"spotify:track:6CSNzPgC41ttk0RERlfr3f","Sick Luke, Izi, Ketama126, Luchè","TEMPORALE (feat. Ketama126, Izi & Luche)","Universal Music Italia srL.",10,-1,1,"1636378"
11,"spotify:track:16EJNayKtC09M0Fi7Py47s","BLANCO","Finché Non Mi Seppelliscono","Universal Music Italia srL.",2,2,18,"1566796"
12,"spotify:track:0bKDQionn4VKcgNKbs4SWX","Pinguini Tattici Nucleari","Pastello Bianco","RCA Records Label",2,4,33,"1501722"
13,"spotify:track:4g0OWz92tgdNlBgc80qF6y","Sick Luke, chiello, Madame","LA STREGA DEL FRUTTETO (feat. chiello & Madame)","Universal Music Italia srL.",13,-1,4,"1498410"
14,"spotify:track:3FHQwJN2JL6x9pgmTILnMB","Sick Luke, Emis Killa, Side Baby","PEZZI DA 20 (feat. Emis Killa & Side Baby)","Universal Music Italia srL.",14,-1,1,"1404302"
15,"spotify:track:6oYcyS6salzWI1ysjEScFh","Rkomi, Elodie","LA CODA DEL DIAVOLO (con ELODIE)","Universal Music Italia srL.",12,12,6,"1368820"
16,"spotify:track:3QdtpN3K8s2aDsX6o10KZK","Fedez, Tedua","SAPORE – with Tedua","Columbia",2,3,7,"1356421"
17,"spotify:track:3IfwbxdAUjSjbFm2Yq3O6I","Sick Luke, Jake La Furia, Fabri Fibra, Izi","FACCIO COSE (feat. Jake La Furia, Fabri Fibra & Izi)","Universal Music Italia srL.",17,-1,1,"1341278"
18,"spotify:track:1oMZnVIuo6GmUNnemu8sLu","Marracash, BLANCO","NEMESI (feat. BLANCO)","Universal Music Italia srL.",3,6,8,"1325332"
19,"spotify:track:3HYK8FMGNQu1Whl8DdtsRC","Marracash","CRAZY LOVE","Universal Music Italia srL.",2,5,8,"1313732"
20,"spotify:track:5b5LAmQZx3mKmhL7PQGegi","Guè","Veleno","Universal Music Italia srL.",3,10,5,"1239093"
21,"spotify:track:6z37P32HMJWEsHImmNVArF","Sick Luke, Gaia, Carl Brave","MOSAICI (feat. Gaia & Carl Brave)","Universal Music Italia srL.",21,-1,1,"1236964"
22,"spotify:track:7zMhSaj07q1xOpg5T05yfK","Sick Luke, Taxi B, Pyrex","CLOCHARD (feat. Taxi B & Pyrex)","Universal Music Italia srL.",22,-1,1,"1195444"
23,"spotify:track:6yaNNYWPjkWHbh1jADEyJO","Salmo","KUMITE","Columbia",1,9,15,"1186514"
24,"spotify:track:1x3Qb8np6S1UvpSLthwEJN","BLANCO, Sfera Ebbasta","MI FAI IMPAZZIRE","Universal Music Italia srL.",1,7,30,"1170765"
25,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",11,11,9,"1119376"
26,"spotify:track:6cK1buCgdWeO9536VM4XrS","Sick Luke, PSICOLOGI, CoCo","CAMEL E MALINCONIA (feat. PSICOLOGI & CoCo)","Universal Music Italia srL.",26,-1,1,"1104251"
27,"spotify:track:5M3SYjElWjKlD3jgONFw4w","PSICOLOGI","SUI MURI","Universal Music Italia srL.",8,13,5,"1099019"
28,"spotify:track:0JsfWhQ2STKCqsvKse3Rgj","Coez","Come nelle canzoni","Coez licensed to Carosello Records",8,16,10,"1088619"
29,"spotify:track:1PWOkqMORYdGa0OEh2GaXM","BLANCO","Notti In Bianco","Universal Music Italia srL.",1,8,53,"1054185"
30,"spotify:track:0sAroRXvF6YQqMdonRDE9e","Mecna, CoCo","La più bella","Universal Music Italia srL.",18,18,14,"963514"
31,"spotify:track:0tD4EXZRm1JGDYWtKYFLWK","Bresh, SHUNE","Angelina Jolie","Epic",21,22,44,"918235"
32,"spotify:track:2B4GHvToeLTOBB4QLzW3Ni","Farruko","Pepas","Sony Music Latin",8,14,24,"902222"
33,"spotify:track:1eMfykfketml0h2jCPTGwI","Sick Luke, Cosmo, Pop X","FUNERAL PARTY (feat. Cosmo & Pop X)","Universal Music Italia srL.",33,-1,1,"862645"
34,"spotify:track:7u02ZUejB2uhTw1WuFXrlf","Guè, Rose Villain","Piango Sulla Lambo (feat. Rose Villain)","Universal Music Italia srL.",4,20,5,"861924"
35,"spotify:track:1r9xUipOqoNwggBpENDsvJ","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","KIDinaKORNER/Interscope Records",27,27,9,"852042"
