rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",1,3,6,"247011"
2,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,2,8,"246550"
3,"spotify:track:1rrqJ9QkOBYJlsZgqqwxgB","Ayra Starr","Rush","Mavin Records",1,1,4,"232401"
4,"spotify:track:2wgvxtggKVzPkl0smF2UzI","Asake","Organise","YBNL Nation / EMPIRE",1,4,6,"219486"
5,"spotify:track:2qWwuCVeMjF9mUT0S5Iqvl","Fireboy DML, Asake","Bandana","YBNL Nation / EMPIRE",1,5,14,"195906"
6,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",6,22,3,"188798"
7,"spotify:track:6ewsOjbC1jWAZcjAhVxDs0","Asake","Peace Be Unto You (PBUY)","YBNL Nation / EMPIRE",1,6,18,"188038"
8,"spotify:track:6RbOyNeajWax51NtpO6WT8","Victony, Tempoe","Soweto","Encore Recordings",8,8,10,"163385"
9,"spotify:track:1DjjSWom4la3p67sZcBWTN","Blaqbonez, JAE5","BACK IN UNI","Chocolate City Music",9,-1,1,"162649"
10,"spotify:track:2WigMwGJysIh9fRnSJvpjn","Oxlade","KU LO SA - A COLORS SHOW","Troniq Inc",5,7,18,"160165"
11,"spotify:track:46gfN72BxmLvACx6Pve4XU","Asake","Dull","YBNL Nation / EMPIRE",4,9,6,"147288"
12,"spotify:track:6McBvfxgkVfREmQPwTKBUn","Pheelz, Davido","Electricity","Warner Records",3,11,8,"139369"
13,"spotify:track:5OTKO93FLT25URfam2hZgP","Bella Shmurda, Omah Lay","Philo","Dangbana Republik",13,15,4,"133346"
14,"spotify:track:2pUlBBWq8R10ylbBvZJV9j","Wizkid","Bad To Me","Starboy/RCA Records",3,13,5,"129636"
15,"spotify:track:0VjzaXw81JQJM61pzWwP8b","Asake","Nzaza","YBNL Nation / EMPIRE",6,10,6,"129119"
16,"spotify:track:0CUJV0Hh512Ns7U2yGflqt","Asake","Ototo","YBNL Nation / EMPIRE",7,12,6,"129107"
17,"spotify:track:5hVjoL3sHepZROri63wBxP","Burna Boy","It's Plenty","Spaceship/ Bad Habit/Atlantic Records",2,14,14,"128475"
18,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,16,22,"122642"
19,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",1,18,14,"107625"
20,"spotify:track:4iCUs97QSPyYaFmzDa25Tb","Asake","Dupe","YBNL Nation / EMPIRE",9,17,6,"107416"
21,"spotify:track:4MzOppXoeKvDsVaNMeOK3C","Ruger","Girlfriend","Promised Land Recordings",5,20,17,"100862"
22,"spotify:track:4lVEVXrlQlXPdYWMGTwrFe","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce","Overloading (OVERDOSE)","Mavin Records",2,19,22,"100329"
23,"spotify:track:0rkpKiWmsAs2VApWKJQRuY","Black Sherif","Soja","Blacko Management / EMPIRE",23,25,4,"94691"
24,"spotify:track:4k4pdUWX8632g7yByxC3rS","Asake, Burna Boy","Sungba (feat. Burna Boy) - Remix","YBNL Nation / EMPIRE",2,21,29,"92947"
25,"spotify:track:65v99AWZyNz3aRmfrT2I7N","Omah Lay","i'm a mess","KeyQaad/Sire Records",10,26,13,"83676"
26,"spotify:track:4A7sSA10D35HQUNrSOl5Zo","JAE5, Dave, BNXN","Propeller (feat. Dave & BNXN)","Black Butter",2,27,12,"83596"
27,"spotify:track:3Nx9nMHMFgkeF8xpVk1Ev0","Asake","Muse","YBNL Nation / EMPIRE",10,23,6,"82005"
28,"spotify:track:6NKuW3yaNXtloGw1RB8WUi","Mayorkun","Certified Loner (No Competition)","SM Entertainment West Africa Limited",6,28,17,"79624"
29,"spotify:track:7tZMF9Hn5uGsfC7zGXbSKM","Crayon","Ijo (Laba Laba)","Mavin Records/Blowtime Ent",15,29,15,"79316"
30,"spotify:track:6WavyUNdnJk9SRW7ko9ack","Asake, Russ","Reason (feat. Russ)","YBNL Nation / EMPIRE",11,24,6,"77879"
31,"spotify:track:2wfWK2cmM5DZ4VnT7rDnFO","Zinoleesky","Call of Duty","Marlian Music",4,30,7,"76343"
32,"spotify:track:0s5nhb6ts6uCKAVnGg46y6","Burna Boy, Victony","Different Size (feat. Victony)","Spaceship/ Bad Habit/Atlantic Records",3,32,14,"68561"
33,"spotify:track:1B5I5yqLpVI5EosZS6bJFs","Chris Brown, Wizkid","Call Me Every Day (feat. Wizkid)","Chris Brown Entertainment/RCA Records",2,34,17,"67619"
34,"spotify:track:5TqtBDyIdZiTpfJZL2o10M","Asake","Sunmomi","YBNL Nation / EMPIRE",13,31,6,"64408"
35,"spotify:track:4Gasn91fsCefnN8zM5GjA8","Pheelz, BNXN","Finesse","Warner Records",1,33,33,"64272"
36,"spotify:track:7d1aTQlsHMgWmkPywDi7h1","Asake, Olamide","Omo Ope (feat. Olamide)","Asake Music",2,35,35,"63911"
37,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",1,36,24,"63772"
38,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",26,38,16,"62215"
39,"spotify:track:6459gZKddpOoPIH8PAcCwS","Fireboy DML","All Of Us (Ashawo)","YBNL Nation / EMPIRE",2,43,10,"62073"
