rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa Mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Music Group",1,3,13,"212259"
2,"spotify:track:7yJ5UfiXvtePhopnvxyXOV","Big Nuz, Dj Yamza","Ngeke","Afrotainment",1,1,7,"205645"
3,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,2,21,"182255"
4,"spotify:track:58u8z6ia8GTm9yZlkmtCtV","Aymos, Ami Faku","Fatela","Lyf Styl Entertainment",4,6,8,"176731"
5,"spotify:track:0AY3sNqV7qAdAZ8j6TRVBd","2Point1, Ntate Stunna, Nthabi Sings","Stimela","Penya Play Productions",5,11,3,"176025"
6,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",6,9,5,"169124"
7,"spotify:track:4FEi7i9oDxDzcYbx53IHwq","Kelvin Momo, Babalwa M, Sfarzo Rtee","Sukakude (feat. Sfarzo Rtee)","Kelvin Momo Productions",7,19,5,"148793"
8,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",8,16,20,"143554"
9,"spotify:track:5ZDw1sqZQDlC5aV7ir6kkN","Myztro, Focalistic, Daliwonga, ShaunMusiq & Ftears","Tobetsa Remake (feat. Focalistic, Daliwonga & ShaunMusiq & Ftears)","New Money Gang Records",5,5,6,"143493"
10,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",2,17,6,"143080"
11,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,12,10,"138738"
12,"spotify:track:13Z8di7Br7OsZn5GmtesIf","Pcee, Justin99, EeQue, Mr JazziQ","ZoTata (feat. Mr JazziQ)","Sound African Recordings",7,7,5,"131857"
13,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",2,18,43,"129446"
14,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,13,35,"128520"
15,"spotify:track:1X1IDV1HeEMqpPkKnt1Srx","Kelvin Momo, Baby S.O.N, Jay Sax, Nanette","Fool Me (feat. Nanette & Baby S.O.N & Jay Sax)","Kelvin Momo Productions",1,15,5,"126498"
16,"spotify:track:4lOujgdHEUyFThYND4EmlQ","DJ Maphorisa, Visca, 2woshort, Stompiiey, ShaunMusiq & Ftears, Madumane","Ba Straata (feat. 2woshort, Stompiiey, Shaunmusiq & Ftears & Madumane)","New Money Gang Records",3,4,13,"124923"
17,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",8,20,20,"117378"
18,"spotify:track:3PdO57q0KLWkfWXsXQJlV6","Mas Musiq, Aymos, Young Stunna","Sengizwile (feat. Aymos & Young Stunna)","New Money Gang Records",3,8,36,"115335"
19,"spotify:track:3nqQXoyQOWXiESFLlDF1hG","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","Capitol Records UK / EMI",2,21,16,"113116"
20,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",20,36,106,"112940"
21,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",21,30,15,"105665"
22,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",22,38,4,"100322"
23,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",1,33,37,"93042"
24,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",11,31,31,"91701"
25,"spotify:track:2nws7wwvjHpP512xuDAn10","King Monada, CK THE DJ","AYE KUWA (feat. CK THE DJ)","Moreki Music",10,10,9,"90666"
26,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,29,41,"88800"
27,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",17,27,12,"88175"
28,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records / Jonzing World",28,37,25,"85325"
29,"spotify:track:1hsFJ92y0FU2cFOOLkEFVr","Deep London, Boohle","Hamba Wena","Cycad Wave",5,22,20,"82829"
30,"spotify:track:2nwXM9eHzj8eQBsuK9osbL","Luxury SA","Crazy Vibez","Luxury SA Entertainment",10,23,20,"82436"
31,"spotify:track:6sCvvleqKbeyOkQDieBYgp","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Roc Nation/Def Jam/Hollywood",1,39,11,"80956"
32,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",8,25,24,"80938"
33,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",11,42,27,"80703"
34,"spotify:track:2KWbBP2ddjo6t5aMOJeItK","Myztro, ShaunMusiq & Ftears","Tobetsa","New Money Gang Records",2,14,9,"80283"
35,"spotify:track:3r4sc1n8kNL2FpebHwaAQE","Ch'cco, Focalistic, Mellow & Sleazy","Pele Pele","R1+0 CARTEL",10,24,9,"79567"
36,"spotify:track:4BIGl9cDzyw1znsjRytGLd","Kelvin Momo, Babalwa M, Chley, MaWhoo","Izono (feat. Mawhoo & Babalwa M & Chley)","Kelvin Momo Productions",12,34,5,"78207"
37,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",3,44,12,"77726"
38,"spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","Metro Boomin, Future, Chris Brown","Superhero (Heroes & Villains) [with Future & Chris Brown]","Republic Records",10,56,6,"76503"
39,"spotify:track:1ULFJZX54HXXjSTMx63dk0","Kabza De Small, Msaki","Khusela (feat. Msaki)","Piano Hub",5,32,33,"71886"
40,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",5,41,106,"71158"
41,"spotify:track:5uWDenxq03AYLOq83WzLNo","Kabza De Small, Young Stunna, Nobuhle, Ze2","Xola (feat. Nobuhle, Ze2 & Young Stunna)","Piano Hub",7,28,30,"70687"
42,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",20,53,5,"70253"
43,"spotify:track:4FyesJzVpA39hbYvcseO2d","Lil Uzi Vert","Just Wanna Rock","Generation Now/Atlantic",33,55,12,"69516"
44,"spotify:track:6PqdJb18ssWDcROvnsEqy6","AKA, Nasty C","Lemons (Lemonade)","Sound African Recordings",2,43,17,"68705"
45,"spotify:track:3VBwoaePYGdOmG1YHgGOHi","Ice Beats Slide, Sbuda Maleather, 2woBunnies","JAGERMEISTER","Kreativekornerr",45,-1,1,"67979"
46,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",37,102,5,"67774"
47,"spotify:track:7noQJdn8w9TT9FagQy5KsP","MacG, Sir Trill, Bailey RSA, EmjayKeyz","Nkantin","M2N Services",11,26,16,"67756"
