rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1horGWxHKfwctCKdHwrO0n","BLOK3, Ati242","Keşke","Lais Records",1,1,2,"7602851"
2,"spotify:track:3XZDLNS43nxBJ6HmAlVMGp","Semicenk","Gözlerinden Gözlerine","Eva Yapım & Eva Records",1,3,10,"3967929"
3,"spotify:track:5uh8vQEAZeIFEYhAg52BNS","Rıza Tamer","Benden Sonra","DMC",3,8,2,"3859364"
4,"spotify:track:3xZxb7EIcNyRmDc8ECaWTl","Jeff Redd","HUQQA","Lais Records",1,2,5,"3119097"
5,"spotify:track:1I7iW0f42qRNJMvpyERRmo","Sıla Şahin, Samet Kardeşler","Aldanırım","Samet Kardeşler & Sıla Şahin",5,5,8,"3048861"
6,"spotify:track:3ff93VTp2DBbNnDEsAW8Cm","BLOK3","SEVMEYİ DENEMEDİN","Mundo Music",1,4,30,"2799500"
7,"spotify:track:366jopUhzxmlcO7m7I6q8G","Gülden","Mendil","DOĞAN MÜZİK YAPIM",3,6,9,"2657767"
8,"spotify:track:5mL3lm7htBJ2TOlvHm2c5S","Sertab Erener","Farzet","Kala Müzik, Under Exclusive Licence to ONErpm",8,17,3,"2605251"
9,"spotify:track:4DPjZs1Jjw5mQ41w0xt9KA","UZI","NEON","GNG CLAN",2,12,12,"2378312"
10,"spotify:track:1iOjOuccQP5gL52dQW8EqW","Poizi, Era7capone, SNOW","ÇIKAR BİRİ KARŞIMA","ZUNA",2,9,7,"2254504"
11,"spotify:track:7wZRlmI91BOt7JF7rMOrej","Kubilay Karça","Ayaza Serdim","Wovie",3,15,11,"2220189"
12,"spotify:track:4gqiqccm2NNQcdIUkEDEiM","Ben Fero","BİTMİYOR","Ben Fero",2,7,15,"2210458"
13,"spotify:track:1HJU78CRk4vxvjE5Cs1BCt","Dj Guuga, Mc Livinho","Vidrado Em Você","GR6 Music",13,14,5,"2177693"
14,"spotify:track:0E1hVdXGZu0MoE77bYyjie","Simge, Era7capone, Ozan Bayraşa, SNOW","YANKI X İNTİHAR","DİPH RECORDS & DMC",4,13,21,"2047426"
15,"spotify:track:2uniCPIy7f5Mi2AEfvQz7z","Ceren Sagu","Yalan","Coverz",13,23,8,"2035736"
16,"spotify:track:0VOnehekjQz9cvUwLzmYSQ","Semicenk","Sen Kaldın","Eva Yapım & Eva Records",12,19,35,"1846147"
17,"spotify:track:2QcdW7XNdYQTpkTWVEkCHL","Reynmen","Çatma Yarim","Houze Istanbul",1,11,8,"1787529"
18,"spotify:track:2wlxHcLNLqxg8UQT4n8yGh","Volkan Konak","Mimoza Çiçeğim","DOĞAN MÜZİK YAPIM",18,37,2,"1787113"
19,"spotify:track:7FfdTwI2i0b5PNeNvqtqCY","Ati242","Italy Forma","SST",2,16,26,"1698688"
20,"spotify:track:1lNcnIU4jtqD69Qtfjh8EJ","Dedublüman, Aleyna Tilki","Sana Güvenmiyorum - Dedub Sessions","Hypers & DMC",1,20,23,"1552340"
21,"spotify:track:0Jn6LasVbDhI1ZyWEuOK7B","Volkan Konak","Aleni Aleni","DOĞAN MÜZİK YAPIM",21,48,18,"1534221"
22,"spotify:track:5pEpvR03HbLxkBtK73EeJw","Ati242","Değişmene Rağmen","SST",2,25,40,"1524015"
23,"spotify:track:0SwRpscOdj6PBhudNVIGpW","BLOK3","ZEHİRLİ GÜL","Mundo Music",10,29,30,"1491543"
24,"spotify:track:7AbbuiP5vKiuyFl47Z5jY3","Duman","Kufi","PARAVAN",2,10,42,"1467878"
25,"spotify:track:24QL6OovqvjJ7cDxBd5Fwl","Era7capone, KERO","DURULDUM","ZUNA",1,26,12,"1432287"
26,"spotify:track:28Aau4tlztDlgKJQXrWhZR","Simge","Önümüz Yaz","Simge Sağın Production",2,27,42,"1394582"
27,"spotify:track:37g065kUQYRuIEx3Kmv6Ge","Volkan Konak","Ömrüm","DOĞAN MÜZİK YAPIM",27,139,2,"1323108"
28,"spotify:track:6Ear9bhjbNi2oaqv5qlqlM","Ferdi Özbeğen","Dönsen Bile","YAŞAR KEKEVA PLAKÇILIK",24,31,20,"1310231"
29,"spotify:track:0bvgWq2ZUhwwjLR1AMcQDs","Era7capone, Batuflex, Narco","CISTAK","Lais Records",1,21,44,"1309920"
30,"spotify:track:2IPxsVjAkqoFXrzwGwUVia","Aydilge","Hayat Şaşırtır!","AVRUPA MÜZİK YAPIM",30,53,7,"1306788"
31,"spotify:track:43Kpm3kz8904r3DCvrCx5h","Funda Arar","Bağışla","Bomonti Müzik",14,33,15,"1292260"
32,"spotify:track:0QuKutgaaa0Q1WUZEnrZ93","Ati242","Sönen Sigaralar","SST",5,35,26,"1289260"
