Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65227.9565911038,64401.5074354212,71307.4017277218,77860.9112908848,82304.6204272866,85809.9003846356
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42794.0022648288,40404.8062238951,46926.475736105,46062.9914079698,49200.8101526146,52636.7865943853
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,10369.5553585271,8841.2707511328,10314.0506725979,11402.1410374782,13826.1306570122,14157.9445835849
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54282.6176051733
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10280.3148624429
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7913.98801464547
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,55800.2194549412
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40408.2848574751,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117,46150.4876861593
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51773.0464558993,52653.7565934247,61174.9680215622,55296.9371472535,55567.0890080496,57723.2345031532
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29786.5245689007,27233.9426461608,30799.4775937775,30270.2687017458,33509.0127982139,35297.0094995565
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633,40226.0472416173
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40415.9567649547,40028.7341726762,40094.5599795288,34065.6438962526,33836.1756271617,32475.8924992191
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31902.4169048194,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508,..
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2041.42863698585,1907.04251637669,2239.61384367482,2347.44829434623,2530.12031278204,2696.66389984463
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,65952.0378959293,61410.0792630788,80056.1288247844,90299.0694637269,85412.230345235,90674.066632628
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6533.71121032856,5580.60383075189,6843.39941886204,6523.41097815853,6022.54254192335,6253.37158194543
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2265.15520863056,2019.65706326224,2017.27486481527,2139.37478476974,1596.63696129001,806.945695055244
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,64407.484256932
