Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65227.9565911038,64401.5074354212,71307.4017277218,77860.9112908848,82304.6204272866,85809.9003846356
United States,USA,"Population, total",SP.POP.TOTL,330226227,331577720,332099760,334017321,336806231,340110988
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.459,82.664,82.873,83.084,83.298,83.515
United States,USA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,105.321,103.855,106.325,108.786,112.411,..
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,10369.5553585271,8841.2707511328,10314.0506725979,11402.1410374782,13826.1306570122,14157.9445835849
Mexico,MEX,"Population, total",SP.POP.TOTL,125762982,126799054,127648148,128613117,129739759,130861007
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.444,80.731,81.016,81.3,81.582,81.862
Mexico,MEX,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,97.0359,96.9237,99.0948,105.713,111.562,..
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54282.6176051733
Canada,CAN,"Population, total",SP.POP.TOTL,37618495,38028638,38239864,38935934,40083484,41288599
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.482,81.562,81.653,81.752,81.862,81.98
Canada,CAN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,90.9589,84.7748,87.4056,91.2387,94.1497,..
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,9029.83326681073,7074.19378337644,7972.5366498646,9281.33334441234,10377.5892792557,10280.3148624429
Brazil,BRA,"Population, total",SP.POP.TOTL,207455459,208660842,209550294,210306415,211140729,211998573
Brazil,BRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.824,87.073,87.317,87.555,87.788,88.016
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,97.3747,98.6456,104.825,101.245,101.02,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,9955.97478680428,8535.59938004389,10738.0179223384,13935.6811110049,14187.4827252965,13858.2039802008
Argentina,ARG,"Population, total",SP.POP.TOTL,44973465,45191965,45312281,45407904,45538401,45696159
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.991,92.111,92.229,92.347,92.463,92.579
Argentina,ARG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,125.303,121.181,130.353,131.484,137.706,..
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6472.54544924705,5339.68711357943,6222.62164397614,6680.44506854481,7000.83660501046,7913.98801464547
Colombia,COL,"Population, total",SP.POP.TOTL,49907985,50629997,51188173,51737944,52321152,52886363
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.104,81.425,81.74,82.05,82.354,82.652
Colombia,COL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,132.811,133.661,146.628,156.195,166.98,..
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42794.0022648288,40404.8062238951,46926.475736105,46062.9914079698,49200.8101526146,52636.7865943853
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66631000,66744000,66984000,67604000,68492000,69226000
United Kingdom,GBR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.652,83.903,84.152,84.398,84.642,84.884
United Kingdom,GBR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,120.25,117.305,117.887,119.834,122.796,..
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,47623.8656074829,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,55800.2194549412
Germany,DEU,"Population, total",SP.POP.TOTL,83092962,83160871,83196078,83797985,83901923,83510950
Germany,DEU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.376,77.453,77.544,77.648,77.765,77.895
Germany,DEU,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,128.292,128.425,127.125,124.158,124.663,..
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,40408.2848574751,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117,46150.4876861593
France,FRA,"Population, total",SP.POP.TOTL,67382061,67601110,67842811,68065015,68287487,68516699
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.709,80.975,81.242,81.509,81.777,82.044
France,FRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,109.601,110.387,113.953,115.951,116.688,..
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51773.0464558993,52653.7565934247,61174.9680215622,55296.9371472535,55567.0890080496,57723.2345031532
Sweden,SWE,"Population, total",SP.POP.TOTL,10278887,10353442,10415811,10486941,10536632,10569709
Sweden,SWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.708,87.977,88.238,88.492,88.738,88.976
Sweden,SWE,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,125.457,123.549,124.961,140.782,140.266,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29786.5245689007,27233.9426461608,30799.4775937775,30270.2687017458,33509.0127982139,35297.0094995565
Spain,ESP,"Population, total",SP.POP.TOTL,47118501,47359424,47443821,47786102,48347910,48807137
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.565,80.81,81.056,81.304,81.552,81.802
Spain,ESP,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,116.696,116.712,119,123.4,127.715,..
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633,40226.0472416173
Italy,ITA,"Population, total",SP.POP.TOTL,59729081,59438851,59133173,59013667,58993475,58986023
Italy,ITA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.736,71.039,71.346,71.657,71.973,72.292
Italy,ITA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,132.181,129.49,130.781,131.674,131.872,..
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,40415.9567649547,40028.7341726762,40094.5599795288,34065.6438962526,33836.1756271617,32475.8924992191
Japan,JPN,"Population, total",SP.POP.TOTL,126633000,126261000,125681593,125124989,124516650,123975371
Japan,JPN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.698,91.782,91.867,91.955,92.043,92.134
Japan,JPN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,147.21,154.432,159.516,168.603,178.432,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,31902.4169048194,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508,..
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51764822,51836239,51769539,51672569,51712619,51751065
"Korea, Rep.",KOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.43,81.414,81.414,81.427,81.456,81.498
"Korea, Rep.",KOR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,133.08,135.973,140.516,148.684,162.114,..
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2041.42863698585,1907.04251637669,2239.61384367482,2347.44829434623,2530.12031278204,2696.66389984463
India,IND,"Population, total",SP.POP.TOTL,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791
India,IND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.472,34.926,35.393,35.872,36.364,36.867
India,IND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,82.8981,82.254,81.604,80.1818,80.5632,..
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,65952.0378959293,61410.0792630788,80056.1288247844,90299.0694637269,85412.230345235,90674.066632628
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569,5685807,5453566,5637022,5917648,6036860
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100,100,100,100,100
Singapore,SGP,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,159.347,150.259,157.978,173.005,173.2,..
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6533.71121032856,5580.60383075189,6843.39941886204,6523.41097815853,6022.54254192335,6253.37158194543
South Africa,ZAF,"Population, total",SP.POP.TOTL,59587885,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.856,67.354,67.847,68.335,68.819,69.298
South Africa,ZAF,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,162.739,158.447,163.128,160.729,171.509,..
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2265.15520863056,2019.65706326224,2017.27486481527,2139.37478476974,1596.63696129001,806.945695055244
Nigeria,NGA,"Population, total",SP.POP.TOTL,209485641,213996181,218529286,223150896,227882945,232679478
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.157,51.958,52.746,53.521,54.283,55.03
Nigeria,NGA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,88.1169,95.4357,89.2916,99.5852,98.4773,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64835.9199754535,64407.484256932
Australia,AUS,"Population, total",SP.POP.TOTL,25334826,25649248,25685412,26014399,26652777,27204809
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.124,86.241,86.362,86.488,86.617,86.75
Australia,AUS,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,109.753,104.93,105.119,109.469,112.513,..
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9215.44049888114,8638.73903848102,9743.21277804855,10674.504157865,13105.6585004778,15473.2872636856
Turkiye,TUR,"Population, total",SP.POP.TOTL,82579440,83384680,84147318,84979913,85325965,85518661
Turkiye,TUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.63,76.105,76.569,77.022,77.463,77.893
Turkiye,TUR,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,94.6498,95.3961,99.5415,103.721,105.684,..
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15874.5220531254,16150.9291009726,18635.5088812509,18891.213529396,22145.2643088909,25022.6716445953
Poland,POL,"Population, total",SP.POP.TOTL,37965475,37515748,36981559,36821749,36687353,36554707
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.037,60.043,60.075,60.134,60.218,60.33
Poland,POL,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,126.597,129.288,132.987,137.002,135.146,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 12/04/2025,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,Other notes,License URL
NY.GDP.PCAP.CD,CC BY-4.0,GDP per capita (current US$),"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. The core indicator has been divided by the general population to achieve a per capita estimate.This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. The core indicator has been divided by the general population to achieve a per capita estimate.This indicator is expressed in current prices, meaning no adjustment has been made to account for price changes over time. This indicator is expressed in United States dollars.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,WDI,current US$,Annual,1960-2024,Weighted average,"Methodology: National accounts are compiled in accordance with international standards: System of National Accounts, 2008 or 1993 versions. Specific information on how countries compile their national accounts can be found on the IMF website: https://dsbb.imf.org/ Per capita estimates are divided by the total population.
Statistical concept(s): The conceptual elements of the SNA (System of National Accounts) measure what takes place in the economy, between which agents, and for what purpose. At the heart of the SNA is the production of goods and services. These may be used for consumption in the period to which the accounts relate or may be accumulated for use in a later period. In simple terms, the amount of value added generated by production represents GDP. The income corresponding to GDP is distributed to the various agents or groups of agents as income and it is the process of distributing and redistributing income that allows one agent to consume the goods and services produced by another agent or to acquire goods and services for later consumption. The way in which the SNA captures this pattern of economic flows is to identify the activities concerned by recognizing the institutional units in the economy and by specifying the structure of accounts capturing the transactions relevant to one stage or another of the process by which goods and services are produced and ultimately consumed.","This indicator is related to the national accounts, which are critical for understanding and managing a country's economy. They provide a framework for the analysis of economic performance. National accounts are the basis for estimating the Gross Domestic Product (GDP) and Gross National Income (GNI), which are the most widely used indicator of economic performance. They are essential for government policymakers, providing the data needed to design and assess fiscal and monetary policies; and are also used by businesses and investors to assess the economic climate and make investment decisions. NAS enable comparison between economies, which is crucial for international trade, investment decisions, and economic competitiveness. More specifically, this indicator is related to national accounts aggregates. Gross Domestic Product (GDP), Gross National Income (GNI), and other aggregates provide a snapshot of the size and health of an economy by measuring the total economic activity within a country. They can thus be used by policymakers to design and implement economic policies, as they reflect the overall economic performance and can indicate the need for intervention in certain areas. Aggregates also allow for comparisons between different economies, which can be useful for trade negotiations, investment decisions, and economic benchmarking. By examining aggregates over time, economists and analysts can identify trends, cycles, and potential areas of concern within an economy, and investors can use national accounts aggregates to assess the potential risks and returns of investing in a particular country. Overall, national accounts aggregates are fundamental tools for economic analysis, policy formulation, and decision-making at both the national and international levels.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.POP.TOTL,CC BY-4.0,"Population, total","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","Total population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship. The values shown are midyear estimates.","World Population Prospects, United Nations (UN), uri: https://population.un.org/wpp/, publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National Statistical Offices, uri: https://unstats.un.org/home/nso_sites/, publisher: National Statistical Offices;
Eurostat: Demographic Statistics, Eurostat (ESTAT), uri: https://ec.europa.eu/eurostat/data/database?node_code=earn_ses_monthly, publisher: Eurostat;
Population and Vital Statistics Report (various years), United Nations (UN), uri: https://unstats.un.org, publisher: UN Statistics Division",Health: Population: Structure,WDI,Unit,Annual,1960-2024,Sum,"Methodology: Population estimates are usually based on national population censuses, and estimates of fertility, mortality and migration.



Errors and undercounting in census occur even in high-income countries.  In developing countries errors may be substantial because of limits in the transport, communications, and other resources required to conduct and analyze a full census.



The quality and reliability of official demographic data are also affected by public trust in the government, government commitment to full and accurate enumeration, confidentiality and protection against misuse of census data, and census agencies' independence from political influence. Moreover, comparability of population indicators is limited by differences in the concepts, definitions, collection procedures, and estimation methods used by national statistical agencies and other organizations that collect the data.



The currentness of a census and the availability of complementary data from surveys or registration systems are objective ways to judge demographic data quality. Some European countries' registration systems offer complete information on population in the absence of a census.



The United Nations Statistics Division monitors the completeness of vital registration systems. Some developing countries have made progress over the last 60 years, but others still have deficiencies in civil registration systems.



International migration is the only other factor besides birth and death rates that directly determines a country's population change. Estimating migration is difficult. At any time many people are located outside their home country as tourists, workers, or refugees or for other reasons. Standards for the duration and purpose of international moves that qualify as migration vary, and estimates require information on flows into and out of countries that is difficult to collect.



One of the major data sources of this indicator is UN Population Division's World Population Prospects, which use the cohort component method to produce population estimates and projections.



Population projections, starting from a base year are projected forward using assumptions of mortality, fertility, and migration by age and sex through 2050, based on the UN Population Division's World Population Prospects database medium variant.
Statistical concept(s): Estimates of total population describe the size of total population. Population estimates are dependent on the demographic components of change that are fertility, mortality and migration. As the size of population continues to change throughout the time even within a year, a reference time in the year that the estimate refers to is needed, such as mid-year, end-year or beginning of year. The values shown are midyear estimates.","Increases in human population, whether as a result of immigration or more births than deaths, can impact natural resources and social infrastructure.  This can place pressure on a country's sustainability.  A significant growth in population will negatively impact the availability of land for agricultural production, and will aggravate demand for food, energy, water, social services, and infrastructure. On the other hand, decreasing population size - a result of fewer births than deaths, and people moving out of a country - can impact a government's commitment to maintain services and infrastructure.","Current population estimates for developing countries that lack (i) reliable recent census data, and (ii) pre- and post-census estimates for countries with census data, are provided by the United Nations Population Division and other agencies. 



The cohort component method - a standard method for estimating and projecting population - requires fertility, mortality, and net migration data, often collected from sample surveys, which can be small or limited in coverage. Population estimates are from demographic modeling and so are susceptible to biases and errors from shortcomings in both the model and the data.



Because future trends cannot be known with certainty, population projections have a wide range of uncertainty.",Relevance to gender indicator: disaggregating the population composition by gender will help a country in projecting its demand for social services on a gender basis.,https://datacatalog.worldbank.org/public-licenses#cc-by
SP.URB.TOTL.IN.ZS,CC BY-4.0,Urban population (% of total population),Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.,Urban population refers to people living in urban areas as defined by national statistical offices. The data are collected and smoothed by United Nations Population Division.,"World Urbanization Prospects, United Nations (UN), uri: https://population.un.org/wup/, publisher: UN Population Division",Environment: Density & urbanization,WDI,Percentage,Annual,1960-2024,Weighted average,Methodology: Percentages urban are the numbers of persons residing in an area defined as ''urban'' per 100 total population.
Statistical concept(s): Urban population refers to people living in urban areas as defined by national statistical offices. Particular caution should be used in interpreting the figures for percentage urban for different countries. Countries differ in the way they classify population as "urban" or "rural." The population of a city or metropolitan area depends on the boundaries chosen.,"Explosive growth of cities globally signifies the demographic transition from rural to urban, and is associated with shifts from an agriculture-based economy to mass industry, technology, and service.







In principle, cities offer a more favorable setting for the resolution of social and environmental problems than rural areas. Cities generate jobs and income, and deliver education, health care and other services. Cities also present opportunities for social mobilization and women's empowerment.","Aggregation of urban and rural population may not add up to total population because of different country coverage. There is no consistent and universally accepted standard for distinguishing urban from rural areas, in part because of the wide variety of situations across countries.







Most countries use an urban classification related to the size or characteristics of settlements. Some define urban areas based on the presence of certain infrastructure and services. And other countries designate urban areas based on administrative arrangements. Because of national differences in the characteristics that distinguish urban from rural areas, the distinction between urban and rural population is not amenable to a single definition that would be applicable to all countries.







Estimates of the world's urban population would change significantly if China, India, and a few other populous nations were to change their definition of urban centers. 







Because the estimates of city and metropolitan area are based on national definitions of what constitutes a city or metropolitan area, cross-country comparisons should be made with caution.",,https://datacatalog.worldbank.org/public-licenses#cc-by
